time,open,high,low,close,Volume,Futures Open Interest
1355446800,571.25,571.25,571.25,571.25,0,0
1355706000,568.25,568.25,568.25,568.25,1,0
1355792400,560,560,560,560,1,1
1355878800,553.25,557.25,549,557.25,2,3
1355965200,552.5,552.5,552.5,552.5,2,3
1356051600,552.75,552.75,551.5,551.5,1,4
1356310800,552,552,551.5,551.5,1,5
1356483600,547.5,547.5,547.5,547.5,1,5
1356570000,550.75,550.75,550.75,550.75,1,5
1356656400,555,555,555,555,1,5
1356915600,550,553.75,550,553.75,1,6
1357088400,551.5,551.5,549.5,549.5,1,7
1357174800,547.5,547.5,547.5,547.5,1,7
1357261200,546,546,545,545,2,8
1357520400,546,546,545,545,4,12
1357606800,542.5,542.5,542.5,542.5,4,12
1357693200,540,544.5,540,544.5,1,13
1357779600,533.5,543,533.5,543,2,15
1357866000,536,536.25,535,536.25,3,15
1358125200,542,542,542,542,3,15
1358211600,543.5,543.5,543.5,543.5,3,15
1358298000,543.5,543.5,543.5,543.5,3,15
1358384400,542.5,542.5,542.5,542.5,3,15
1358470800,543.5,543.5,543.5,543.5,3,15
1358816400,543.5,543.5,543.5,543.5,3,15
1358902800,543.5,543.5,543.5,543.5,3,15
1358989200,543,543,543,543,3,15
1359075600,541,541,541,541,3,15
1359334800,542.5,542.5,542.5,542.5,3,15
1359421200,539.5,539.5,539.5,539.5,3,15
1359507600,542.5,542.5,539,539.5,3,17
1359594000,538.25,538.25,538.25,538.25,3,17
1359680400,540.5,550,540.5,548.75,14,26
1359939600,550,550,548.5,548.5,3,29
1360026000,548,548,548,548,3,29
1360112400,549,549,549,549,2,29
1360198800,544,544,540.25,542,7,34
1360285200,542,542,542,542,7,34
1360544400,542,542,540,540,7,39
1360630800,540,540,538,538,3,39
1360717200,539,540.25,539,540.25,3,42
1360803600,538,538,538,538,3,42
1360890000,536.75,538,536.75,538,1,42
1361235600,537.25,537.25,531.75,531.75,1,42
1361322000,533.5,533.5,533.5,533.5,1,42
1361408400,525.75,525.75,525,525,2,43
1361494800,518,518,518,518,2,43
1361754000,519.75,519.75,519.75,519.75,2,43
1361840400,523,523,523,523,2,43
1361926800,521.25,521.25,521.25,521.25,2,43
1362013200,526,526,526,526,5,47
1362099600,521.75,521.75,521.75,521.75,5,47
1362358800,520.5,520.5,520.5,520.5,5,47
1362445200,523.5,523.5,523.5,523.5,5,47
1362531600,520.5,520.5,515.5,515.5,2,46
1362618000,516,519.75,516,519.75,29,67
1362704400,520.5,520.5,520.5,520.5,29,67
1362960000,528.25,530,528.25,529.25,2,68
1363046400,527,527,527,527,2,68
1363132800,525.25,525.25,525.25,525.25,2,68
1363219200,525,525.25,525,525.25,2,69
1363305600,525,527.25,525,527.25,4,71
1363564800,527,527,527,527,4,71
1363651200,527,527,527,527,4,71
1363737600,527,527,526.5,526.5,4,72
1363824000,525.5,525.5,525.5,525.5,4,72
1363910400,521,521,521,521,4,72
1364169600,519.25,519.25,519.25,519.25,4,72
1364256000,521.5,521.5,521.5,521.5,4,72
1364342400,518.5,518.5,518.5,518.5,4,72
1364428800,510.25,510.25,506.5,506.5,5,70
1364774400,507.75,510.25,506,510.25,16,76
1364860800,510,514.25,509.75,514.25,6,78
1364947200,515,517.5,515,517.5,3,79
1365033600,519.75,519.75,519.75,519.75,3,79
1365120000,520,522,520,521.5,4,81
1365379200,522,523.5,522,523.5,3,78
1365465600,527,528.25,527,528.25,4,78
1365552000,527,527,527,527,4,78
1365638400,527,527,522.75,522.75,6,76
1365724800,523.75,523.75,523.75,523.75,6,76
1365984000,522.5,522.5,509.5,511,11,79
1366070400,517.75,517.75,517.75,517.75,11,79
1366156800,519,523,519,523,14,85
1366243200,512.5,512.5,512.5,512.5,14,85
1366329600,515,518,515,518,4,88
1366588800,510.25,510.25,507,507,1,88
1366675200,500.5,501.25,500.25,500.25,4,88
1366761600,506.75,506.75,506.75,506.75,4,88
1366848000,508.75,508.75,508.75,508.75,4,88
1366934400,504,504,504,504,4,88
1367193600,517.5,523,517.5,523,1,88
1367280000,523,523,518.75,518.75,6,90
1367366400,510,511.25,510,511.25,1,91
1367452800,519.75,519.75,519.75,519.75,1,91
1367539200,514.25,514.25,514.25,514.25,1,91
1367798400,510.25,510.25,510.25,510.25,2,91
1367884800,511,511,511,511,2,91
1367971200,512,512,506.5,506.5,1,91
1368057600,512.75,512.75,512.75,512.75,1,91
1368144000,508,508,508,508,1,91
1368403200,517.5,517.5,517.5,517.5,1,91
1368489600,516.25,516.25,516.25,516.25,1,91
1368576000,516.5,516.5,516.5,516.5,1,91
1368662400,512.25,512.25,512.25,512.25,1,91
1368748800,510,510,509,509,4,93
1369008000,507.75,507.75,507.75,507.75,4,93
1369094400,507.5,507.5,507.5,507.5,4,93
1369180800,508,508,508,508,4,93
1369267200,508,514.5,508,514.5,3,95
1369353600,513,513,513,513,3,95
1369699200,517,517.25,516.75,516.75,4,95
1369785600,517.75,518,517.75,518,13,104
1369872000,517,517.75,517,517.75,2,105
1369958400,518,526.75,518,526.25,21,124
1370217600,527,527,523.75,523.75,2,124
1370304000,519,519,519,519,1,124
1370390400,515,515,515,515,1,124
1370476800,519.75,519.75,519.75,519.75,1,124
1370563200,524.5,526.5,524.5,526.5,6,124
1370822400,515,522,515,522,2,124
1370908800,523,523,523,523,2,124
1370995200,520,521,520,521,2,123
1371081600,522.5,522.5,522.5,522.5,2,123
1371168000,521.75,521.75,521.75,521.75,2,123
1371427200,526,526,526,526,2,123
1371513600,527,527.5,526,526,27,137
1371600000,527,532.75,527,532.75,57,177
1371686400,530,530,524.5,524.5,8,182
1371772800,521,521,521,521,8,182
1372032000,518.75,518.75,518.75,518.75,8,182
1372118400,517,517,517,517,8,182
1372204800,515.75,515.75,515.75,515.75,8,182
1372291200,511,511,511,511,8,182
1372377600,509.75,510,495,495,5,181
1372636800,495.5,495.5,495.5,495.5,5,181
1372723200,496,496,496,496,5,181
1372809600,500,500.25,500,500.25,3,184
1372982400,494.5,494.5,494.5,494.5,3,184
1373241600,496.5,496.5,496.5,496.5,3,184
1373328000,506.25,506.25,506.25,506.25,3,184
1373414400,506,506.25,500.75,506.25,16,197
1373500800,506,510.5,506,510.5,26,201
1373587200,500.25,500.25,500.25,500.25,26,201
1373846400,494,494,494,494,26,201
1373932800,495,495,494.75,494.75,1,201
1374019200,495,496.5,495,496.5,2,201
1374105600,495,500,495,495.75,2,202
1374192000,501.25,501.25,495.5,495.5,1,203
1374451200,497,497,495.5,495.5,1,204
