time,open,high,low,close,Total Candles,Volume,Futures Open Interest
862876800,265,265,265,265,0,0,0
862963200,266,266,266,266,1,0,0
863049600,270,270,270,270,2,0,0
863136000,270,270,270,270,3,0,0
863395200,268,268,268,268,4,0,0
863481600,268,268,268,268,5,0,0
863568000,268,268,268,268,6,0,0
863654400,268,268,268,268,7,0,0
863740800,268,268,268,268,8,0,0
864000000,268,268,268,268,9,0,0
864086400,263,263,263,263,10,0,0
864172800,265,265,265,265,11,0,0
864259200,262,264,262,264,12,0,0
864345600,261,261,261,261,13,0,0
864691200,255,255,255,255,14,0,0
864777600,258,258,258,258,15,0,0
864864000,256,256,256,256,16,0,0
864950400,255,255,253.5,253.5,17,0,0
865209600,253.5,253.5,253.5,253.5,18,0,0
865296000,256,256.5,256,256.5,19,0,0
865382400,253,253,253,253,20,0,0
865468800,255.75,255.75,255.75,255.75,21,0,0
865555200,255.75,255.75,255,255,22,0,0
865814400,255.5,255.5,255.5,255.5,23,0,0
865900800,255.5,255.5,255,255,24,0,0
865987200,255,255,255,255,25,0,0
866073600,254.25,254.5,253,253,26,0,0
866160000,253,254,252.75,254,27,0,0
866419200,252.5,252.5,250,250,28,0,0
866505600,250,251.5,250,251.5,29,0,0
866592000,252.5,252.5,252.5,252.5,30,0,0
866678400,252.5,252.5,252.5,252.5,31,0,0
866764800,254.5,254.5,254.5,254.5,32,0,0
867024000,259,259,259,259,33,0,0
867110400,260,260,260,260,34,0,0
867196800,256,256,256,256,35,0,0
867283200,252,252,252,252,36,0,0
867369600,250,250,250,250,37,0,0
867628800,254,254,254,254,38,0,0
867715200,249.25,249.25,249.25,249.25,39,0,0
867801600,248,248,248,248,40,0,0
867888000,248,248,248,248,41,0,0
868233600,245.25,245.25,245.25,245.25,42,0,0
868320000,248.75,248.75,248.75,248.75,43,0,0
868406400,250,250,250,250,44,0,0
868492800,250,250,250,250,45,0,0
868579200,250.5,254.25,250.5,254.25,46,0,0
868838400,260,260,260,260,47,0,0
868924800,259,264.5,259,264.5,48,0,0
869011200,260,260,260,260,49,0,0
869097600,260,260,260,260,50,0,0
869184000,262.5,262.5,262.5,262.5,51,0,0
869443200,260,260,260,260,52,0,0
869529600,261,261,261,261,53,0,0
869616000,261.5,261.5,261.5,261.5,54,0,0
869702400,260,260,260,260,55,0,0
869788800,260,260,260,260,56,0,0
870048000,262.5,262.5,262.5,262.5,57,0,0
870134400,262.5,262.5,262.5,262.5,58,0,0
870220800,263,263,263,263,59,0,0
870307200,263,263,263,263,60,0,0
870393600,263,263,263,263,61,0,0
870652800,257,262,257,262,62,0,0
870739200,262,262,262,262,63,0,0
870825600,262,262.5,262,262.5,64,0,0
870912000,260,260.25,260,260,65,0,0
870998400,262,262,262,262,66,0,0
871257600,262,262,262,262,67,0,0
871344000,265,266,265,266,68,0,0
871430400,265,265,265,265,69,0,0
871516800,262.75,264.5,262.75,264.5,70,0,0
871603200,262.5,262.5,262.5,262.5,71,0,0
871862400,262.5,262.5,262.5,262.5,72,0,0
871948800,266.5,266.5,266.5,266.5,73,0,0
872035200,266.5,266.5,266.5,266.5,74,0,0
872121600,268,268,268,268,75,0,0
872208000,270.5,271,269,269,76,0,0
872467200,267,267,267,267,77,0,0
872553600,268.25,268.25,262,262,78,0,0
872640000,268,268,268,268,79,0,0
872726400,266,266,266,266,80,0,0
872812800,266,266,266,266,81,0,0
873158400,267,267,267,267,82,0,0
873244800,267,267,267,267,83,0,0
873331200,268,268,268,268,84,0,0
873417600,265.5,265.5,265.5,265.5,85,0,0
873676800,265,265,265,265,86,0,0
873763200,266,266,266,266,87,0,0
873849600,267,267,267,267,88,0,0
873936000,268,268,268,268,89,0,0
874022400,265,265,265,265,90,0,0
874281600,266,267.5,266,266,91,0,0
874368000,268,268,268,268,92,0,0
874454400,266,266,266,266,93,0,0
874540800,268,268,268,268,94,0,0
874627200,267,267,267,267,95,0,0
874886400,267,267,266,266,96,0,0
874972800,266,266,266,266,97,0,0
875059200,266,266,266,266,98,0,0
875145600,265.5,266,265.5,266,99,0,0
875232000,266,266,266,266,100,0,0
875491200,267,268,267,268,101,0,0
875577600,267.5,268.25,267.5,268,102,0,0
875664000,266,266,266,266,103,0,0
875750400,266,266,266,266,104,0,0
875836800,271,272,271,272,105,0,0
876096000,272,272,272,272,106,0,0
876182400,278.5,284,278.5,284,107,0,0
876268800,282.5,286.5,282.5,285.5,108,0,0
876355200,283,285,283,285,109,0,0
876441600,286.5,290,286,288,110,0,0
876700800,288.75,291.5,288.75,289,111,0,0
876787200,288,288,286,286,112,0,0
876873600,286.25,288.5,286.25,288.5,113,0,0
876960000,287,287,286,286,114,0,0
877046400,285,285,282.25,282.25,115,0,0
877305600,284,284,284,284,116,0,0
877392000,284,288,284,288,117,0,0
877478400,291,291,291,291,118,0,0
877564800,290,290,289,289,119,0,0
877651200,288,288.75,287,288.75,120,0,0
877914000,287,287,287,287,121,0,0
878000400,282,283,282,283,122,0,0
878086800,283,283,283,283,123,0,0
878173200,278,281.5,278,281.5,124,0,0
878259600,285,285,285,285,125,0,0
878518800,287.5,290,287,288,126,0,0
878605200,288,288,288,288,127,0,0
878691600,286,286,286,286,128,0,0
878778000,284.5,285.5,284.5,285.5,129,0,0
878864400,286.5,286.5,286.5,286.5,130,0,0
879123600,283,285.5,283,285.5,131,0,0
879210000,285,285,284,284,132,0,0
879296400,281.5,281.5,281,281.5,133,0,0
879382800,281.5,281.5,278,279,134,0,0
879469200,279,279,277.5,278,135,0,0
879728400,280,280,280,280,136,0,0
879814800,279,279,279,279,137,0,0
879901200,281,281.5,280,280,138,0,0
879987600,280,280,279,279,139,0,0
880074000,279.25,279.25,279.25,279.25,140,0,0
880333200,280.75,280.75,280.75,280.75,141,0,0
880419600,279.5,279.5,279.5,279.5,142,0,0
880506000,279,281,279,281,143,0,0
880678800,281.25,281.25,281.25,281.25,144,0,0
880938000,281.5,282,281.5,282,145,0,0
881024400,281.5,281.5,281.5,281.5,146,0,0
881110800,281.25,281.25,281.25,281.25,147,0,0
881197200,279.5,279.5,279.5,279.5,148,0,0
881283600,278,281.5,278,281.5,149,0,0
881542800,281.5,281.5,281.5,281.5,150,0,0
881629200,281.75,281.75,281.75,281.75,151,0,0
881715600,283,283.5,283,283.5,152,0,0
881802000,282,282,280.5,280.5,153,0,0
881888400,279.25,279.25,278,278,154,0,0
882147600,278,278,276.25,276.25,155,0,0
882234000,277.75,277.75,276,276,156,0,0
882320400,278,278,278,278,157,0,0
882406800,277,277,275,275,158,0,0
882493200,271,273,271,273,159,0,0
882752400,271.5,273,271.5,273,160,0,0
882838800,276,276,276,276,161,0,0
882925200,278,278,278,278,162,0,0
883098000,276.5,279,276.5,279,163,0,0
883357200,276.5,278.5,276.5,278.5,164,0,0
883443600,277,277,277,277,165,0,0
883530000,275,275,275,275,166,0,0
883702800,274,274,272.75,274,167,0,0
883962000,274.5,275.5,273.75,275.5,168,0,0
884048400,272,272,272,272,169,0,0
884134800,270,271,270,270.75,170,0,0
884221200,270,270,268,268,171,0,0
884307600,268,270,268,270,172,0,0
884566800,268,269,268,268,173,0,0
884653200,272.5,274.75,272.5,274.5,174,0,0
884739600,276,277,274,275.75,175,0,0
884826000,274,277.5,274,277.5,176,0,0
884912400,276,276,276,276,177,0,0
885258000,274,276.5,274,276.5,178,0,0
885344400,274,276,274,275,179,0,0
885430800,275.5,277,275.5,277,180,0,0
885517200,277,277.5,277,277,181,0,0
885776400,276.5,279,276.5,279,182,0,0
885862800,280,280.5,279,280,183,0,0
885949200,280,280.5,280,280.5,184,0,0
886035600,279.5,279.5,279.5,279.5,185,0,0
886122000,279,279,275,277.5,186,0,0
886381200,279.75,279.75,279.75,279.75,187,0,0
886467600,279.75,280.25,279.75,280.25,188,0,0
886554000,279,281,278,280.75,189,0,0
886640400,279,281,278,280,190,0,0
886726800,279,279,278,278.5,191,0,0
886986000,279,281,279,280.5,192,0,0
887072400,280.5,280.75,280,280.5,193,0,0
887158800,279,280,277,279.5,194,0,0
887245200,279.5,280,279,280,195,0,0
887331600,280,280,280,280,196,0,0
887677200,279,279,278,279,197,0,0
887763600,278.5,278.5,278,278.25,198,0,0
887850000,277,277,276.5,276.5,199,0,0
887936400,276,276.5,275.5,275.5,200,0,0
888195600,275.5,275.5,275,275.5,201,0,0
888282000,275,275,274,274,202,0,0
888368400,273.5,275,273.5,275,203,0,0
888454800,274,274.5,274,274.5,204,0,0
888541200,275.75,276.5,275.75,276,205,0,0
888800400,278,281,278,281,206,0,0
888886800,278,281,278,281,207,0,0
888973200,281,281,280,280,208,0,0
889059600,279,279,279,279,209,0,0
889146000,279,280,278.5,280,210,0,0
889405200,280.5,282,280.5,281.5,211,0,0
889491600,280.5,281.5,280.5,281.5,212,0,0
889578000,281.5,281.5,281,281.5,213,0,0
889664400,281,281.5,281,281.5,214,0,0
889750800,281,281,280,280,215,0,0
890010000,280,280,274.25,274.25,216,0,0
890096400,275.5,275.5,274,274,217,0,0
890182800,275,275,275,275,218,0,0
890269200,273,274,273,274,219,0,0
890355600,271.5,271.5,270,270.5,220,0,0
890614800,270.25,272.5,270.25,272.5,221,0,0
890701200,271,271,269,270,222,0,0
890787600,270,271,269,269.25,223,0,0
890874000,268,268,266,266,224,0,0
890960400,266,268,266,268,225,0,0
891219600,268,271.5,268,271,226,0,0
891306000,271,271,268,270.5,227,0,0
891392400,268,268.5,268,268,228,0,0
891478800,268.5,272,268,272,229,0,0
891565200,271.5,271.5,269,271.5,230,0,0
891820800,268,268,267,267,231,0,0
891907200,269.5,269.5,267.75,267.75,232,0,0
891993600,269,272,268,271,233,0,0
892080000,270.5,273,270.5,272.75,234,0,0
892425600,273,273.5,268.75,270.75,235,0,0
892512000,269,271,269,270.5,236,0,0
892598400,272,275.5,271.5,274.5,237,0,0
