time,open,high,low,close,Volume,Futures Open Interest
1153353600,304,324.25,304,324.25,0,0
1153440000,324,324,324,324,1,0
1153699200,330,333,330,333,1,85
1153785600,336.5,336.5,336.5,336.5,0,135
1153872000,336,336,336,336,2,178
1153958400,335,339.75,335,339.75,7,313
1154044800,337,338,337,338,7,463
1154304000,339.5,339.5,339.5,339.5,32,569
1154390400,337.5,343,336,342,123,771
1154476800,342,345,341,345,7,1003
1154563200,343,345,343,344,1,1224
1154649600,344,344,342,342,7,1306
1154908800,340,340,338,338.5,6,1429
1154995200,335,335,335,335,4,1474
1155081600,336,336,334,335.5,4,1536
1155168000,335,335,335,335,8,1701
1155254400,335,335,328,332,5,1768
1155513600,335,337,328,328,5,1812
1155600000,328.5,328.5,328.5,328.5,1,1837
1155686400,328.5,328.5,328.5,328.5,6,1820
1155772800,328,328,327,327,6,1839
1155859200,323,323,323,323,42,1909
1156118400,323,324,323,324,42,1990
1156204800,324.5,324.5,324.5,324.5,8,2000
1156291200,325,328,325,328,8,2028
1156377600,328,332.5,328,332.5,8,2049
1156464000,330,330,330,330,45,2141
1156723200,330,330,328.5,328.5,100,2188
1156809600,326.5,326.5,326.5,326.5,100,2288
1156896000,330,330,330,330,9,2293
1156982400,331.5,331.5,331.5,331.5,39,2345
1157068800,330,331.5,328.5,329,6,2378
1157414400,331,332.5,327.5,327.5,5,2401
1157500800,328,328,323,323,5,2445
1157587200,324.5,324.5,324.5,324.5,0,2483
1157673600,322,322,322,322,5,2483
1157932800,322,322,318,318,5,2505
1158019200,314,314,314,314,0,2512
1158105600,310,310,310,310,1,2514
1158192000,315,315,305,305,11,2573
1158278400,305,305,304,304,10,2605
1158537600,310,310,308.5,308.5,41,2604
1158624000,310,310,310,310,4,2612
1158710400,311,311,309.5,309.5,50,2610
1158796800,311.5,311.5,311.5,311.5,157,2629
1158883200,311.5,315.5,311.5,314.5,2,2573
1159142400,315.25,319,315.25,317.5,22,2565
1159228800,320,322.5,320,321,81,2769
1159315200,320,320,319,319,81,2856
1159401600,322,322,322,322,44,2908
1159488000,321.5,322,316.5,318.5,108,2890
1159747200,322,323,319,323,108,3125
1159833600,322,322,322,322,1,3302
1159920000,325,327,325,327,4,3501
1160006400,326,327,322,322,4,3507
1160092800,322,322,322,322,95,3536
1160352000,322,327,321,321,1,3495
1160438400,320,320,306.5,306.5,81,3500
1160524800,305,308,305,308,1,3423
1160611200,313,313,313,313,19,3440
1160697600,313,320,313,320,3,3442
1160956800,320,320,316,316,3,3459
1161043200,319,319,319,319,1,3507
1161129600,321,321,316,316,1,3521
1161216000,318,318,317.5,317.5,1,3504
1161302400,317.5,317.5,317,317,1,3526
1161561600,317,320,317,320,9,3489
1161648000,319.75,321,319.75,321,1,3561
1161734400,320,322.5,320,322.5,51,3561
1161820800,321,323,320,320,10,3600
1161907200,320,323,320,323,50,3657
1162170000,323.25,324.75,322,322,2,3700
1162256400,322,322,319.5,319.5,1,3755
1162342800,322.5,325.5,322.5,325.5,50,3819
1162429200,325,331,325,327,11,3873
1162515600,325,333,325,329,9,3903
1162774800,327.5,332.5,327.5,331,68,3999
1162861200,331,335,330.5,331,23,4025
1162947600,331,331,329,330,21,4019
1163034000,330,330,325,325,5,4028
1163120400,320,322,320,322,4,4041
1163379600,319,320,316.25,320,4,4046
1163466000,320,320,320,320,16,4058
1163552400,323,323,319,319,3,4109
1163638800,318.25,320.5,318.25,320.5,4,4119
1163725200,320,320,319,319,16,4164
1163984400,318,320.5,318,319,16,4173
1164070800,319,319,319,319,9,4175
1164157200,319,320,317.25,319,9,4208
1164243600,319,319,319,319,11,4208
1164330000,319,321,319,321,17,4239
1164589200,321.5,324.5,321.5,323,6,4375
1164675600,322,322.5,318.5,322.5,11,4401
1164762000,322,324.5,316,316,41,4470
1164848400,317,322.5,317,321,76,4510
1164934800,320.25,322.5,319,322.5,12,4586
1165194000,322,322,317.25,320,86,4586
1165280400,317,325,317,325,9,4586
1165366800,323,324,321,323,106,4710
1165453200,321,325,320.5,324,2,4804
1165539600,322.75,324,321.75,324,65,4797
1165798800,322.5,328,322.5,328,71,4822
1165885200,327.75,330,327.75,330,40,4900
1165971600,330,330.5,328.5,330,179,4931
1166058000,329.5,337,329,335,24,5149
1166144400,335,336,334.25,336,32,5199
1166403600,336,336,333,336,56,5213
1166490000,335.5,339.75,335.5,337.5,93,5276
1166576400,338,340,334,337,42,5382
1166662800,339.5,339.75,336.5,339.5,43,5455
1166749200,339.5,340,338.25,340,18,5489
1167094800,340,340,338.5,339.5,67,5536
1167181200,339.75,341.5,339,341.25,229,5617
1167267600,342,349,342,347.5,54,5805
1167354000,346.5,350,346.5,348.5,7,5933
1167699600,345,349.5,345,348.5,60,5937
1167786000,348,348,340.75,342,79,6015
1167872400,340,345,338.75,342,150,6135
1167958800,341.5,349,341.5,347,89,6263
1168218000,347,348,343,345,81,6353
1168304400,344,345,342,342.75,64,6445
1168390800,340.75,345.5,340,343,195,6552
1168477200,343,355,343,351.5,20,6839
1168563600,347.25,365.5,347.25,364,226,7151
1168909200,364,366,354,359,116,7413
1168995600,359,364,358.5,358.5,153,7690
1169082000,358.5,364,355,356.75,70,7820
1169168400,356.5,360,350.75,355,44,7889
1169427600,347,357,345.25,355.5,107,7934
1169514000,355,360,355,359,74,8036
1169600400,359,361,354,354.5,56,8100
1169686800,354.5,356,354.5,356,37,8174
1169773200,356,358,356,357,109,8195
1170032400,357,357,353,354,203,8410
1170118800,354,357.5,352.75,357.5,19,8482
1170205200,357,359,356,356,78,8497
1170291600,355,360,355,358,17,8570
1170378000,358,362,356,360,35,8599
1170637200,360,362,357.75,358,23,8634
1170723600,358,359,358,358.25,16,8653
1170810000,358,359,356,356,110,8809
1170896400,355,359.75,355,358.25,146,9026
1170982800,357.5,360,357,359.5,80,9152
1171242000,358.5,360,358.5,358.75,97,9163
1171328400,358.75,362,358.75,361.5,172,9239
1171414800,360.5,365,360.5,361.5,110,9418
1171501200,361.5,367,361.5,364.5,153,9586
1171587600,365.5,373,364.75,370.5,152,9733
1171933200,370.25,372.5,369.75,371,180,9906
1172019600,370,379.5,370,378.5,248,10133
1172106000,378,386,378,384,92,10300
1172192400,384,384,378,380,75,10404
1172451600,379,381,379,380,26,10478
1172538000,380,381,370,370,44,10502
1172624400,369,375,368,375,77,10508
1172710800,375,375,362.25,370,131,10583
1172797200,369.5,374.25,369,370,123,10736
1173056400,370,371.5,364.5,370,93,10766
1173142800,370,374,369.25,374,37,10761
1173229200,377.75,377.75,375,375,176,10800
1173315600,375,382,375,378.25,75,10864
1173402000,377,384,376,378.5,23,10922
1173657600,378,380,376,376.5,23,10983
1173744000,376,377.25,374,374,22,11099
1173830400,371,373,370,373,84,11255
1173916800,373,377,370,371.75,100,11299
1174003200,370,376,370,375,201,11310
1174262400,374,381,373.5,381,53,11469
1174348800,381,383.75,380,382.5,89,11475
1174435200,382,388.5,382,384.5,207,11556
1174521600,383.5,389,383.5,385.25,145,11626
1174608000,385,389,385,387,158,11705
1174867200,384,390,381,387,171,11805
1174953600,386,387,383,384.25,135,11903
1175040000,384,385,380,383.75,136,12002
1175126400,383,387,379,384.5,192,12270
1175212800,380.5,384,365,372,108,12422
1175472000,371,373.5,366,373,323,12458
1175558400,373,384,373,382,411,12581
1175644800,382,390,382,388,388,12630
1175731200,388,389.75,386.75,389.25,150,12644
1175817600,389.25,389.25,389.25,389.25,0,12645
1176076800,389,398.75,386,386.5,400,12764
1176163200,386.75,387.75,383.25,386,275,12909
1176249600,385,387.75,385,387,426,13051
1176336000,387,387,383,386,332,13206
1176422400,387,388.5,383,388.5,117,13339
1176681600,386,390,384.5,388.5,340,13489
1176768000,390,391,384.5,385,357,13544
1176854400,385,385,381,384,246,13656
1176940800,385,387,380,383,133,13692
1177027200,380,383,377.25,381.5,356,13663
1177286400,380,385,379,382.5,205,13738
1177372800,382,390,382,387,1051,13854
1177459200,387,396.5,387,390,115,13989
1177545600,390,393.75,381.25,384.5,211,14088
1177632000,384.25,384.25,380.5,380.5,24,14104
1177891200,375,384.75,375,382.75,128,14154
1177977600,385,394,383,392.75,106,14277
1178064000,390.75,399,390.75,394,111,14462
1178150400,394,404.25,394,399,413,15076
1178236800,399,404,398,400.5,249,15354
1178496000,404.75,405,395.5,397.5,114,15395
1178582400,392.5,392.5,387.75,388,70,15493
1178668800,393.25,393.25,389.5,389.5,28,15598
1178755200,389,389,385.5,387,114,15682
1178841600,387,397.75,387,396,91,15739
1179100800,395,397.75,393.5,393.5,85,15807
1179187200,390,400,390,397,355,16032
1179273600,394.5,402.5,394.5,398,110,16112
1179360000,397,399.5,394,394,28,16109
1179446400,396,399.25,391.75,391.75,58,16137
1179705600,392.75,404.25,390,403,168,16325
1179792000,398,399,394.5,395,149,16515
