time,open,high,low,close,Total Candles,Volume,Futures Open Interest
789094800,250.5,251,250.5,250.5,0,0,0
789181200,250.5,250.5,250.5,250.5,1,0,0
789267600,250,253,250,253,2,0,0
789354000,253,254,253,254,3,0,0
789613200,254,254,254,254,4,0,0
789699600,254,254,254,254,5,0,0
789786000,254,254,254,254,6,0,0
789872400,254,254,254,254,7,0,0
789958800,254,254,254,254,8,0,0
790218000,254,254,254,254,9,0,0
790304400,252,252,252,252,10,0,0
790390800,252,252,252,252,11,0,0
790477200,252.5,252.5,252.5,252.5,12,0,0
790563600,250,251.5,250,251.5,13,0,0
790822800,253,253.5,253,253.5,14,0,0
790909200,254,254,254,254,15,0,0
790995600,252.5,254.5,252.5,254.5,16,0,0
791082000,255,255,255,255,17,0,0
791168400,255,255,255,255,18,0,0
791427600,255,255,255,255,19,0,0
791514000,255,255,255,255,20,0,0
791600400,257,257,257,257,21,0,0
791686800,257,257,257,257,22,0,0
791773200,257,257,257,257,23,0,0
792032400,258,258,258,258,24,0,0
792118800,257,257,256,256,25,0,0
792205200,256.25,256.25,256.25,256.25,26,0,0
792291600,256.25,256.25,256.25,256.25,27,0,0
792378000,256.5,257,256.5,257,28,0,0
792637200,257,257,257,257,29,0,0
792723600,257,258,257,258,30,0,0
792810000,258,258,258,258,31,0,0
792896400,258,258,258,258,32,0,0
792982800,258,258,258,258,33,0,0
793328400,258,258,258,258,34,0,0
793414800,258,258,258,258,35,0,0
793501200,258,259.5,258,259.5,36,0,0
793587600,257,258,257,258,37,0,0
793846800,258,258,258,258,38,0,0
793933200,256.5,256.5,256.5,256.5,39,0,0
794019600,256.5,257.25,256.5,257.25,40,0,0
794106000,256,256.5,256,256.5,41,0,0
794192400,255.25,255.25,255.25,255.25,42,0,0
794451600,257.75,257.75,257.75,257.75,43,0,0
794538000,258,258,258,258,44,0,0
794624400,258.25,258.25,258.25,258.25,45,0,0
794710800,258.25,258.75,258.25,258.75,46,0,0
794797200,258.75,258.75,258.75,258.75,47,0,0
795056400,258.75,260,258.75,260,48,0,0
795142800,260,260,260,260,49,0,0
795229200,260,260,260,260,50,0,0
795315600,259,259,259,259,51,0,0
795402000,259,259,259,259,52,0,0
795661200,258,258.5,258,258.5,53,0,0
795747600,255.5,255.5,255.5,255.5,54,0,0
795834000,255.75,255.75,255.75,255.75,55,0,0
795920400,256,256,256,256,56,0,0
796006800,255,255,255,255,57,0,0
796266000,257,257,257,257,58,0,0
796352400,257,257,257,257,59,0,0
796438800,257,257,256,256.25,60,0,0
796525200,256.5,256.5,256.5,256.5,61,0,0
796611600,255,255.25,255,255.25,62,0,0
796867200,256.25,256.25,256.25,256.25,63,0,0
796953600,256.25,256.25,256.25,256.25,64,0,0
797040000,257.25,257.25,257.25,257.25,65,0,0
797126400,256.5,256.5,256.5,256.5,66,0,0
797212800,256.5,256.5,256.5,256.5,67,0,0
797472000,256.5,256.5,256.5,256.5,68,0,0
797558400,257.75,257.75,257.75,257.75,69,0,0
797644800,257.5,257.5,257.5,257.5,70,0,0
797731200,257.5,257.5,257.5,257.5,71,0,0
798076800,253.5,253.5,253.5,253.5,72,0,0
798163200,253,253,253,253,73,0,0
798249600,253,253,253,253,74,0,0
798336000,254.25,254.25,254.25,254.25,75,0,0
798422400,253.5,253.5,253.5,253.5,76,0,0
798681600,253.5,253.5,253.5,253.5,77,0,0
798768000,255.25,255.25,255.25,255.25,78,0,0
798854400,254.5,254.5,254.5,254.5,79,0,0
798940800,254,254,254,254,80,0,0
799027200,254,254,254,254,81,0,0
799286400,254,255.5,254,255.5,82,0,0
799372800,255.5,255.5,255.5,255.5,83,0,0
799459200,255,255,255,255,84,0,0
799545600,254.5,254.5,254.5,254.5,85,0,0
799632000,252.5,253,252.5,253,86,0,0
799891200,253,253,253,253,87,0,0
799977600,253.5,253.5,253.5,253.5,88,0,0
800064000,253.5,253.5,253.5,253.5,89,0,0
800150400,253.5,253.5,253.5,253.5,90,0,0
800236800,252.5,252.5,252.5,252.5,91,0,0
800496000,251,251,249.75,250,92,0,0
800582400,251,251,251,251,93,0,0
800668800,251,251,251,251,94,0,0
800755200,251.5,252,251.5,252,95,0,0
800841600,250,250,250,250,96,0,0
801100800,250,250,250,250,97,0,0
801187200,253,253,252.5,253,98,0,0
801273600,251,251,251,251,99,0,0
801360000,252.75,252.75,252.75,252.75,100,0,0
801446400,254,254,254,254,101,0,0
801792000,252.5,252.5,252.5,252.5,102,0,0
801878400,251.5,251.5,251.5,251.5,103,0,0
801964800,253,253,253,253,104,0,0
802051200,252.5,252.5,252.5,252.5,105,0,0
802310400,254,254,254,254,106,0,0
802396800,254.5,254.5,254.5,254.5,107,0,0
802483200,253,253,253,253,108,0,0
802569600,255,255,255,255,109,0,0
802656000,252.75,252.75,252.75,252.75,110,0,0
802915200,254,254,254,254,111,0,0
803001600,255.5,255.5,255.5,255.5,112,0,0
803088000,256.5,256.5,256.5,256.5,113,0,0
803174400,256,257.75,255.5,255.5,114,0,0
803260800,254.25,254.25,254.25,254.25,115,0,0
803520000,254.75,254.75,254.75,254.75,116,0,0
803606400,255,255,255,255,117,0,0
803692800,256,256,256,256,118,0,0
803779200,256,256,256,256,119,0,0
803865600,256,256,256,256,120,0,0
804124800,251,251,251,251,121,0,0
804211200,251,251,250,250,122,0,0
804297600,250,250,250,250,123,0,0
804384000,251,251.5,250,250,124,0,0
804470400,256,256,253,253,125,0,0
804729600,254,254,254,254,126,0,0
804902400,254,256,254,256,127,0,0
804988800,257,257,257,257,128,0,0
805075200,256,256,256,256,129,0,0
805334400,256.25,256.25,256.25,256.25,130,0,0
805420800,256.25,256.25,256.25,256.25,131,0,0
805507200,258,258,258,258,132,0,0
805593600,257,257,257,257,133,0,0
805680000,258.5,258.5,258.5,258.5,134,0,0
805939200,260,262,260,262,135,0,0
806025600,261,261,261,261,136,0,0
806112000,260,260,260,260,137,0,0
806198400,260.5,260.5,260.5,260.5,138,0,0
806284800,260,260,260,260,139,0,0
806544000,258.5,260.5,258.5,260.5,140,0,0
806630400,261,261,261,261,141,0,0
806716800,261,261,261,261,142,0,0
806803200,262,262,262,262,143,0,0
806889600,258,261,258,260.25,144,0,0
807148800,259,259,259,259,145,0,0
807235200,259.25,259.25,259.25,259.25,146,0,0
807321600,259,259,259,259,147,0,0
807408000,260,260,260,260,148,0,0
807494400,260,260,260,260,149,0,0
807753600,259.5,259.5,259.5,259.5,150,0,0
807840000,259,259,259,259,151,0,0
807926400,258.5,258.5,258.5,258.5,152,0,0
808012800,258.5,258.5,258.5,258.5,153,0,0
808099200,260,260,260,260,154,0,0
808358400,261,261,261,261,155,0,0
808444800,261,261,261,261,156,0,0
808531200,257,257,257,257,157,0,0
808617600,258,258,258,258,158,0,0
808704000,258,258,258,258,159,0,0
808963200,258,258,257,257.5,160,0,0
809049600,257,257,257,257,161,0,0
809136000,256,256,255,256,162,0,0
809222400,258,258,258,258,163,0,0
809308800,259,259,259,259,164,0,0
809568000,260,262,260,261,165,0,0
809654400,261.5,261.5,261,261,166,0,0
809740800,261,261,261,261,167,0,0
809827200,261.5,262,261.5,262,168,0,0
809913600,262,265.5,262,265.5,169,0,0
810259200,265,265,265,265,170,0,0
810345600,262.25,264.5,262.25,263,171,0,0
810432000,262,262,262,262,172,0,0
810518400,262,262,261,261.5,173,0,0
810777600,261.5,262,260,262,174,0,0
810864000,263,264,263,264,175,0,0
810950400,264.5,266,264.5,265,176,0,0
811036800,267,267,267,267,177,0,0
811123200,267,267,267,267,178,0,0
811382400,269,270,268,269.75,179,0,0
811468800,269,269.5,268,269.5,180,0,0
811555200,267,267,267,267,181,0,0
811641600,267,268,267,268,182,0,0
811728000,267.5,268,267.5,267.75,183,0,0
811987200,267,267,267,267,184,0,0
812073600,263,263,263,263,185,0,0
812160000,264,264.5,264,264.5,186,0,0
812246400,265,265,265,265,187,0,0
812332800,265,267.5,265,267.5,188,0,0
812592000,269,269,269,269,189,0,0
812678400,268,268.5,267,268.5,190,0,0
812764800,268,268,268,268,191,0,0
812851200,268,269,268,269,192,0,0
812937600,269.75,269.75,269.75,269.75,193,0,0
813196800,269.5,269.5,269.5,269.5,194,0,0
813283200,269,269,269,269,195,0,0
813369600,269.75,269.75,269.75,269.75,196,0,0
813456000,270,270,268,268,197,0,0
813542400,268,268,268,268,198,0,0
813801600,268,269.5,268,269.5,199,0,0
813888000,269.5,269.75,269.5,269.75,200,0,0
813974400,269,269.5,269,269,201,0,0
814060800,269.5,269.75,269.5,269.75,202,0,0
814147200,269.5,269.5,268,269,203,0,0
814406400,269,269.75,268.25,269.75,204,0,0
814492800,270,270,270,270,205,0,0
814579200,270,270.75,270,270.75,206,0,0
814665600,270.75,272,270.75,272,207,0,0
814752000,269,270.5,269,270.5,208,0,0
815014800,270.5,271,270.5,271,209,0,0
815101200,270,270,268.5,269.5,210,0,0
815187600,267.25,269.25,267.25,269.25,211,0,0
815274000,267,270.25,267,270.25,212,0,0
815360400,270,270,268,269,213,0,0
815619600,269,270,268,270,214,0,0
815706000,270,271.5,270,271.5,215,0,0
815792400,270.5,271.5,270.5,271.5,216,0,0
815878800,272,273,271,271.5,217,0,0
815965200,270,271,270,271,218,0,0
816224400,270,271.5,270,270.5,219,0,0
816310800,268,269.25,268,269,220,0,0
816397200,269,269,267.25,268.5,221,0,0
816483600,268.5,271,267,271,222,0,0
816570000,270.5,270.5,269.5,270,223,0,0
816829200,269.5,269.5,269.5,269.5,224,0,0
816915600,270,270,270,270,225,0,0
817002000,269.5,270,269.5,270,226,0,0
817174800,270,270,269.75,270,227,0,0
817434000,270,270,268.5,268.5,228,0,0
817520400,269,269,267.25,267.25,229,0,0
817606800,268,268.5,268,268,230,0,0
817693200,267.5,269,267.5,268,231,0,0
817779600,268,269,268,269,232,0,0
818038800,269.75,270,268,268,233,0,0
818125200,269,269,268.5,268.5,234,0,0
818211600,270,270,269,269,235,0,0
818298000,269,270,268,269,236,0,0
818384400,270,271.5,269,271.5,237,0,0
818643600,272,274,272,273.25,238,0,0
818730000,273.25,273.5,272,273.5,239,0,0
818816400,272.5,274,272.5,274,240,0,0
818902800,274.5,274.5,274,274.5,241,0,0
818989200,275,275,274.5,274.75,242,0,0
819248400,277,277.5,276,277,243,0,0
819334800,277,278,276.5,278,244,0,0
819421200,277,277,275.5,275.75,245,0,0
819507600,274,274,274,274,246,0,0
819594000,274,275.5,274,275,247,0,0
819939600,275,276,275,275,248,0,0
820026000,275,276,275,275.25,249,0,0
820112400,275,275,273.5,274.5,250,0,0
820198800,274.5,276,274.5,275.5,251,0,0
820544400,276,277,276,276.75,252,0,0
820630800,276,278,276,278,253,0,0
820717200,277,278,277,277.75,254,0,0
820803600,277,281,277,279,255,0,0
821062800,279,279,276,277.5,256,0,0
821149200,278,279,277.5,277.5,257,0,0
821235600,278.5,278.5,276.5,276.5,258,0,0
821322000,275.5,276,273,274.25,259,0,0
821408400,274,275,274,274,260,0,0
821667600,275,276.5,274.5,276.5,261,0,0
821754000,276,276,271,271,262,0,0
821840400,271,272.5,271,272.25,263,0,0
821926800,273.5,273.5,272.25,272.5,264,0,0
822013200,273,275,272,274.75,265,0,0
822272400,275,275.25,274.5,274.5,266,0,0
822358800,274.5,274.5,273,274,267,0,0
822445200,273.5,273.5,272,272,268,0,0
822531600,273,273,271.25,272,269,0,0
822618000,272,274.5,272,274.25,270,0,0
822877200,275,277.5,275,276.5,271,0,0
822963600,277,277.75,276,277.75,272,0,0
823050000,277.5,278.25,277.5,277.5,273,0,0
823136400,277.5,278,277,278,274,0,0
823222800,277.5,278.5,277.25,278.25,275,0,0
823482000,277,277,276,276,276,0,0
823568400,276,277,276,277,277,0,0
823654800,277.5,279,277,279,278,0,0
823741200,279,280,278.5,279.75,279,0,0
823827600,280,280.5,279.5,280,280,0,0
824086800,280.75,281,280,280.5,281,0,0
824173200,280,281,279.5,280,282,0,0
824259600,281,283.5,281,282.5,283,0,0
824346000,282.5,283.5,282,282.5,284,0,0
824432400,282.5,285.5,282.5,285,285,0,0
824778000,284,285,284,284.25,286,0,0
824864400,284.5,287,284.25,287,287,0,0
824950800,285.5,290,285.5,287.5,288,0,0
825037200,287.5,292,287.5,291.5,289,0,0
825296400,290.5,292.5,290.5,292.5,290,0,0
825382800,292,294,292,292.5,291,0,0
825469200,291.5,292.5,291,292.25,292,0,0
825555600,292,292,289,291.25,293,0,0
825642000,290.5,291,287.5,288,294,0,0
825901200,285,287,285,286.75,295,0,0
825987600,286,287.5,286,286,296,0,0
826074000,286,287.5,286,287.5,297,0,0
826160400,288,291,288,291,298,0,0
826246800,291,292,290,291.5,299,0,0
826506000,291,291.5,290.5,291.5,300,0,0
826592400,290.5,292,290.25,291.5,301,0,0
826678800,290.5,291,290,291,302,0,0
826765200,291,292.25,290.5,292,303,0,0
826851600,290,291,289,289.5,304,0,0
827110800,289.5,290,287.5,290,305,0,0
827197200,290,291,289,289,306,0,0
827283600,288.5,290,288.5,289.75,307,0,0
827370000,290,290,288.25,289,308,0,0
827456400,289,289,287.75,289,309,0,0
827715600,289,289,287.75,288,310,0,0
827802000,288.25,289.75,288.25,289.25,311,0,0
827888400,288.75,290.5,288.75,290,312,0,0
827974800,289.5,289.75,288,288.5,313,0,0
828061200,291,292,288,290.5,314,0,0
828320400,289,291,288,290.75,315,0,0
828406800,290.5,291,289,290,316,0,0
828493200,289,291,288,290,317,0,0
828579600,290,291,288,290,318,0,0
828921600,290,294,287,294,319,0,0
829008000,292,294.5,292,293.5,320,0,0
829094400,293,299.5,293,298.5,321,0,0
829180800,300,302,295,296,322,0,0
829267200,293.5,295,292,294.5,323,0,0
829526400,291,294,291,291,324,0,0
829612800,290,293,289,289,325,0,0
829699200,288,293,288,291,326,0,0
829785600,292,295,292,294,327,0,0
829872000,293,294,290,290,328,0,0
830131200,293,293,291,292,329,0,0
830217600,293,294,289,292.5,330,0,0
830304000,291,293.5,291,292.5,331,0,0
830390400,293,295,292,295,332,0,0
830476800,293,293.5,292,292,333,0,0
830736000,291,291,289,289,334,0,0
830822400,290,293,289,291.5,335,0,0
830908800,291,296,291,295.75,336,0,0
830995200,296,297,290,290.25,337,0,0
831081600,290,293,290,292.5,338,0,0
831340800,295,296,292,295,339,0,0
831427200,293.5,294,293,293,340,0,0
831513600,293.5,295,293,294.75,341,0,0
831600000,294,294,292.5,292.5,342,0,0
831686400,292.5,295.75,292.5,294.75,343,0,0
831945600,297,298,296,297.5,344,0,0
832032000,296,297,295,297,345,0,0
832118400,297,298,296,297.5,346,0,0
832204800,298,299,297,298,347,0,0
832291200,297,300,296,297,348,0,0
832550400,293,296,291.5,291.75,349,0,0
832636800,293,293.5,292,292.5,350,0,0
832723200,291.5,294,291,294,351,0,0
832809600,295,296.5,294,295.25,352,0,0
832896000,295.5,299,295,297.25,353,0,0
833241600,299,300,296,296.75,354,0,0
833328000,296,296,289.5,291,355,0,0
833414400,291,292,288.5,290,356,0,0
833500800,292.5,293,290,292,357,0,0
833760000,289.5,290,284.5,286,358,0,0
833846400,288,290,286,289.5,359,0,0
833932800,290,290,286,286.5,360,0,0
834019200,290,291,289,291,361,0,0
834105600,291.5,293,291,292.75,362,0,0
834364800,294,301,294,300.5,363,0,0
834451200,299.5,300,295.5,295.5,364,0,0
834537600,295,297,294.5,295,365,0,0
834624000,295,298,294,297.25,366,0,0
834710400,296.5,298,295.5,295.75,367,0,0
834969600,298,299.5,296.5,296.75,368,0,0
835056000,297.5,302,297.5,299.75,369,0,0
835142400,298,299,296.5,296.75,370,0,0
835228800,296.5,297,294,295.5,371,0,0
835315200,296.5,297,295.5,296.75,372,0,0
835574400,295,296,292,295.75,373,0,0
835660800,295,296,295,295.25,374,0,0
835747200,294,294,291.5,292.75,375,0,0
835833600,292,296.5,292,295.5,376,0,0
835920000,295,297,294,296.75,377,0,0
836179200,298,302,298,300,378,0,0
836265600,298,299.5,297,297,379,0,0
836352000,297,299.5,297,298,380,0,0
836524800,295,295.5,293,294.5,381,0,0
836784000,295.5,298,294.5,294.5,382,0,0
836870400,295.5,298,295.5,297,383,0,0
836956800,297,298.5,295.5,297.75,384,0,0
837043200,299,304.5,299,302,385,0,0
837129600,304,308,304,305.5,386,0,0
837388800,300,304,300,301.5,387,0,0
837475200,300.5,301.5,298,299.5,388,0,0
837561600,298,298,295,297.25,389,0,0
837648000,295.5,298,295,296,390,0,0
837734400,297,298,294,294.25,391,0,0
837993600,295,298.5,295,295,392,0,0
838080000,296,297,294.25,295.75,393,0,0
838166400,295,296,293,293.25,394,0,0
838252800,293,294.5,290.75,292.25,395,0,0
838339200,293,293.5,289.5,290.75,396,0,0
838598400,290,293.5,290,292.5,397,0,0
838684800,293.5,294,289.5,289.75,398,0,0
838771200,289.5,291,289.5,291,399,0,0
838857600,292,296.5,292,296.25,400,0,0
838944000,295,295.5,294,295,401,0,0
839203200,293,293.5,291,293.25,402,0,0
839289600,293,295,292,294.75,403,0,0
839376000,294,294.75,293.5,294.5,404,0,0
839462400,295,297,295,296.25,405,0,0
839548800,296,297,294.5,296,406,0,0
839808000,300.5,308,300.5,307,407,0,0
839894400,307.5,308,300,303.25,408,0,0
839980800,302,305,300.5,302.75,409,0,0
840067200,303.5,305.5,303,303.75,410,0,0
840153600,303,303,300.25,300.5,411,0,0
840412800,296,300.5,296,299.75,412,0,0
840499200,299,300,298,298.25,413,0,0
840585600,299.5,300.5,297.5,297.75,414,0,0
840672000,297,299.5,296.25,298,415,0,0
840758400,297.5,299,297.5,298,416,0,0
841017600,298.5,302.5,298.5,301.25,417,0,0
841104000,300.5,303,300,302.75,418,0,0
841190400,302.5,304.5,300,300.25,419,0,0
841276800,300.5,302,300,301.25,420,0,0
841363200,301,303,301,302.25,421,0,0
841708800,303,305,302.5,303,422,0,0
841795200,300.5,301,300,300.75,423,0,0
841881600,301,303.5,300.75,301.5,424,0,0
841968000,302,303,301,301.75,425,0,0
842227200,300.5,303.25,300.5,302.5,426,0,0
842313600,303.5,307,303,305.75,427,0,0
842400000,304,307,303,304.75,428,0,0
842486400,304.75,309.5,304.5,308.25,429,0,0
842572800,305.5,307,303,303.25,430,0,0
842832000,302.5,302.5,299.5,301.5,431,0,0
842918400,304,304,301.5,301.5,432,0,0
843004800,300,302.5,297.5,302,433,0,0
843091200,303,303.5,298.75,299.75,434,0,0
843177600,300,302.75,300,301.75,435,0,0
843436800,300.5,300.75,299,299.75,436,0,0
843523200,298.75,298.75,296.5,298,437,0,0
843609600,298.25,300,298.25,299.25,438,0,0
843696000,298.5,299,296,296.25,439,0,0
843782400,296.75,297,293.5,293.75,440,0,0
844041600,289.5,291.5,287.5,289.5,441,0,0
844128000,288.25,291,287.5,289,442,0,0
844214400,290.5,291.5,288.25,288.5,443,0,0
844300800,288.5,289.5,288,289.25,444,0,0
844387200,289,289.75,286,286.75,445,0,0
844646400,287,287.75,286,287.5,446,0,0
844732800,287,291,287,290.75,447,0,0
844819200,290.5,291,289.25,290.75,448,0,0
844905600,290.5,290.5,285.75,286.25,449,0,0
844992000,282,283.5,281.5,282.5,450,0,0
845251200,281.75,284.5,281,284.25,451,0,0
845337600,284.5,286,284,286,452,0,0
845424000,287,287.5,283.5,284,453,0,0
845510400,283.5,284,281,283.5,454,0,0
845596800,283.5,284,279.75,280.5,455,0,0
845856000,280.75,281,278,278.25,456,0,0
845942400,278,279.25,276.5,278.75,457,0,0
846028800,279.25,283,279.25,282.5,458,0,0
846115200,282,282,278.5,278.75,459,0,0
846201600,277,278.25,276.5,277.5,460,0,0
846464400,278,281.5,278,280.75,461,0,0
846550800,280,281.75,278,281.25,462,0,0
846637200,280.75,282,279.5,281.5,463,0,0
846723600,279.5,280,276.75,278.5,464,0,0
846810000,277.5,278,275,275.75,465,0,0
847069200,275,275,273.25,273.5,466,0,0
847155600,272.5,272.5,268.75,269.5,467,0,0
847242000,271.5,271.75,269,269.75,468,0,0
847328400,270.75,272.25,270,271.25,469,0,0
847414800,270.75,272.5,270.25,271,470,0,0
847674000,271.25,273,270.5,270.75,471,0,0
847760400,267.5,270.5,266.5,270.5,472,0,0
847846800,271,273,270,272.75,473,0,0
847933200,272.75,275.25,272.25,272.75,474,0,0
848019600,272.5,275.5,270.25,270.5,475,0,0
848278800,269.5,272.5,268.5,271.25,476,0,0
848365200,270.5,271,269.25,269.75,477,0,0
848451600,269,272.75,269,272.25,478,0,0
848538000,273,274.25,272.75,273.75,479,0,0
848624400,273,273.5,272,273,480,0,0
848883600,274.5,275,273,273.25,481,0,0
848970000,273,273,269.75,271.75,482,0,0
849056400,271.75,272.25,270,271.25,483,0,0
849229200,271,271.25,267.5,268.75,484,0,0
849488400,267.5,267.5,263.75,264,485,0,0
849574800,263.25,265,262.75,264.75,486,0,0
849661200,265.5,265.5,262.25,263.5,487,0,0
849747600,261.5,265,260.75,264.75,488,0,0
849834000,264.5,265.5,264,264.5,489,0,0
850093200,264.5,264.5,260.75,261,490,0,0
850179600,259,260,257.75,258.75,491,0,0
850266000,259.25,260.75,259.25,260.25,492,0,0
850352400,260.5,262.5,260.25,262,493,0,0
850438800,262,262.5,260,260.25,494,0,0
850698000,260.5,260.75,259,260.5,495,0,0
850784400,261,263.5,261,262.5,496,0,0
850870800,263.5,265.5,261.5,261.75,497,0,0
850957200,261.25,262,259.5,261.75,498,0,0
851043600,261.5,261.75,259.25,261.25,499,0,0
851302800,260.25,260.75,258.5,260,500,0,0
851389200,259,261.25,259,261.25,501,0,0
851562000,261,262.25,260,261.25,502,0,0
851648400,261.75,262.25,260.25,260.5,503,0,0
851907600,258.5,259.25,257.5,257.75,504,0,0
851994000,257.5,259,257,257.75,505,0,0
