time,open,high,low,close,Total Candles,Volume,Futures Open Interest
967680000,193.5,194.75,193.5,194.25,0,671,216570
967766400,195.75,196.25,195.25,196,1,1628,218925
968112000,197,198,195,196.5,2,606,222291
968198400,197,197,196.25,196.75,3,331,220356
968284800,193.5,193.75,192.75,192.75,4,239,218285
968371200,193,194.5,193,193.5,5,496,0
968630400,195,195,194,194.25,6,1007,218448
968716800,196.5,198,196,197.25,7,215,218448
968803200,194,194.75,193.25,194.75,8,424,217029
968889600,191.5,192.25,191,191.25,9,298,215120
968976000,189.5,189.5,189,189.5,10,583,214605
969235200,187.5,188,187,187,11,354,212091
969321600,188.5,188.5,188,188,12,246,211648
969408000,187.25,187.75,187,187.25,13,467,211185
969494400,188,188,187.5,188,14,496,210977
969580800,190,190.25,189.25,190,15,718,207418
969840000,193.5,194,192.5,193.5,16,661,203694
969926400,193.75,194.75,193.25,194,17,223,204868
970012800,194,194.25,192.5,193,18,153,205771
970099200,194,195,194,195,19,715,204216
970185600,195.5,197,195,196.25,20,818,203954
970444800,196.75,198,196.75,196.75,21,803,205091
970531200,198.75,200.5,198.75,200.25,22,689,202821
970617600,203,203.5,202,202.5,23,977,206345
970704000,204,204,203,203.75,24,283,205099
970790400,203,203.5,203,203,25,325,205287
971049600,202.75,203,202.5,202.5,26,505,202872
971136000,201,201.25,200.5,201,27,599,202790
971222400,203.25,203.5,203,203,28,1117,200733
971308800,204,204.5,203,204.5,29,562,204475
971395200,207.5,207.75,207,207.5,30,458,203624
971654400,207.5,208.5,207.5,208.5,31,489,203196
971740800,206.75,207,206.5,206.75,32,193,202855
971827200,207,207.25,206.75,206.75,33,269,202634
971913600,206,206.75,206,206.25,34,373,200369
972000000,206.25,206.75,206.25,206.5,35,512,200766
972259200,205,205,204.25,204.25,36,349,198428
972345600,203,203.5,203,203.25,37,525,196830
972432000,203.75,203.75,203.5,203.5,38,583,197165
972518400,203,203.5,203,203,39,658,195784
972604800,202,202.25,201.75,201.75,40,1149,194871
972867600,200.75,201,200.25,200.5,41,1438,193604
972954000,200.25,200.75,199.75,199.75,42,1517,195106
973126800,206.5,209.75,206.5,208.5,43,431,199335
973213200,211.75,212.5,211.75,212,44,268,201972
973472400,213,213.75,213,213.25,45,324,197766
973558800,213.5,213.5,213.25,213.5,46,351,194885
973645200,214.75,215,214.5,215,47,472,187427
973731600,215.75,216,215.25,215.25,48,159,182448
973818000,213.5,213.75,213.25,213.25,49,113,174163
974077200,212,212,211.5,211.75,50,249,170287
974163600,211,211.5,211,211.5,51,313,164960
974250000,208.75,209,208.5,208.5,52,357,157706
974336400,207.5,208.25,207.25,208.25,53,637,147621
974422800,208.5,210.5,208.5,209.25,54,475,137725
974682000,211,212.25,210.5,212.25,55,593,122075
974768400,210.5,211,210.25,210.25,56,289,105229
974854800,210.5,210.75,210.25,210.25,57,396,98758
975027600,211,211,210.5,210.75,58,357,94200
975286800,211.25,212.5,210.75,212.5,59,139,82985
975373200,210.5,210.5,209.75,209.75,60,218,57166
975459600,207.75,207.75,207,207.5,61,65,33401
975546000,205,206,205,205,62,6,25809
975632400,208.25,209,208.25,209,63,1,19316
975891600,210,210,210,210,64,0,0
