time,open,high,low,close,Volume,Futures Open Interest
1418346000,427,427,427,427,0,0
1418605200,429,429,429,429,0,0
1418691600,425.25,425.25,425.25,425.25,0,0
1418778000,425.25,425.25,425.25,425.25,0,0
1418864400,424.75,424.75,424.75,424.75,0,0
1418950800,424,424,424,424,0,0
1419210000,424,424,424,424,0,0
1419296400,425,425,425,425,0,0
1419382800,423,423,423,423,0,0
1419555600,425,425,425,425,0,0
1419814800,422.75,422.75,422.75,422.75,0,0
1419901200,421.5,421.5,421.5,421.5,0,0
1419987600,421.5,421.5,421.5,421.5,0,0
1420160400,417.5,417.5,417.5,417.5,0,0
1420419600,425,425,425,425,0,0
1420506000,421.25,421.25,421.25,421.25,0,0
1420592400,417.75,417.75,417.75,417.75,0,0
1420678800,416.5,416.5,416.5,416.5,0,0
1420765200,420,420,420,420,0,0
1421024400,422,422,422,422,0,0
1421110800,415.5,415.5,415.5,415.5,0,0
1421197200,415.25,415.25,415.25,415.25,0,0
1421283600,414,414,414,414,0,0
1421370000,414,414,414,414,0,0
1421715600,414,414,414,414,0,0
1421802000,412.5,412.5,412.5,412.5,0,0
1421888400,412.25,412.25,412.25,412.25,0,0
1421974800,414,414,414,414,0,0
1422234000,411,411,411,411,1,0
1422320400,405,413.75,405,413.75,1,1
1422406800,411.5,411.5,411.5,411.5,1,1
1422493200,411.5,411.5,411.5,411.5,1,1
1422579600,400,413.25,400,413.25,4,5
1422838800,410,410,410,410,4,5
1422925200,414.5,414.5,414.5,414.5,4,5
1423011600,411,411,411,411,4,5
1423098000,405,409.5,405,409.5,2,7
1423184400,408.5,408.5,408.5,408.5,2,7
1423443600,406.75,406.75,406.75,406.75,2,7
1423530000,408,409,408,409,4,11
1423616400,405,414,405,413,10,12
1423702800,413.25,413.25,413.25,413.25,10,12
1423789200,415.5,415.5,415.5,415.5,10,12
1424134800,415.75,418,415.75,418,1,13
1424221200,416,416,416,416,1,13
1424307600,418.5,418.5,418.5,418.5,1,13
1424394000,418.25,418.25,418.25,418.25,1,13
1424653200,417.5,417.5,417.5,417.5,1,13
1424739600,418,418,418,418,1,13
1424826000,419,419,419,419,1,13
1424912400,423.5,424.5,420.75,420.75,2,14
1424998800,420.75,420.75,420.75,420.75,2,14
1425258000,419.75,419.75,419.75,419.75,2,14
1425344400,419.5,419.5,419.5,419.5,2,14
1425430800,419.25,419.25,419.25,419.25,2,14
1425517200,419.25,419.25,419.25,419.25,2,14
1425603600,418.75,418.75,418.75,418.75,2,14
1425859200,421.75,422.75,421.75,422.75,2,16
1425945600,421,424,421,424,1,17
1426032000,424,424,424,424,1,17
1426118400,423,423,423,423,1,17
1426204800,422.5,422.5,422.5,422.5,1,17
1426464000,423.75,423.75,423.75,423.75,1,17
1426550400,418.5,418.5,418.5,418.5,1,17
1426636800,421.75,421.75,421.75,421.75,1,17
1426723200,422.25,422.25,422.25,422.25,1,17
1426809600,425,427.25,425,427.25,6,21
1427068800,427.75,427.75,427.75,427.75,6,21
1427155200,427,427,427,427,6,21
1427241600,425.25,425.25,425.25,425.25,6,21
1427328000,421.75,421.75,421.75,421.75,6,21
1427414400,417.25,419,414.25,419,10,31
1427673600,419.5,419.5,419.5,419.5,10,31
1427760000,410,410,410,410,10,31
1427846400,414.25,414.25,414.25,414.25,10,31
1427932800,418.25,418.25,418.25,418.25,10,31
1428278400,417.5,417.5,417.5,417.5,10,31
1428364800,416.25,416.25,416.25,416.25,10,31
1428451200,415.75,415.75,415.75,415.75,10,31
1428537600,416,416,416,416,10,31
1428624000,416.25,416.25,416.25,416.25,10,31
1428883200,414.75,414.75,414.75,414.75,10,31
1428969600,417,417,417,417,10,31
1429056000,415.5,415.5,415.5,415.5,10,31
1429142400,415.75,415.75,415.75,415.75,10,31
1429228800,417,417,417,417,10,31
1429488000,416.5,416.5,416.5,416.5,10,31
1429574400,414.5,414.5,414.5,414.5,10,31
1429660800,414.5,414.5,414.5,414.5,10,31
