time,open,high,low,close,Volume,Futures Open Interest
1244419200,469.5,469.5,47.5,469.5,0,0
1244505600,476.75,476.75,476.75,476.75,0,0
1244592000,468.5,473,468.5,468.5,0,0
1244678400,473,480,469,474,5,5
1244764800,455,465.75,455,465.75,3,8
1245024000,453.75,455,453.75,453.75,0,8
1245110400,450,451,450,450,0,8
1245196800,450,450,445.25,445.25,1,9
1245283200,445,446.25,445,446.25,1,10
1245369600,445,455,435,445,14,21
1245628800,444.25,444.25,432,432,1,22
1245715200,436,436,435.25,436,0,22
1245801600,445,445,437.5,437.5,1,23
1245888000,431.5,442,431.5,431.5,0,23
1245974400,445,445,430.75,430.75,5,28
1246233600,445,445,428.75,428.75,5,33
1246320000,431,431.75,420.25,420.25,19,33
1246406400,411.25,426.75,411.25,426.25,248,275
1246492800,427.25,427.25,424,424,132,351
1246838400,417.5,422,410.75,410.75,34,384
1246924800,411.5,411.5,400.25,400.25,21,398
1247011200,406,406,400.75,400.75,24,415
1247097600,410,412.5,410,412.5,8,409
1247184000,410,415,408.25,413.25,57,462
1247443200,407.75,415,405,412.5,25,471
1247529600,420.25,420.25,419,420.25,0,471
1247616000,420,420,415,415,1,472
1247702400,410,410,404.25,404.25,24,480
1247788800,406,409.5,406,409.5,3,483
1248048000,410.75,411.75,410.25,411.75,5,484
1248134400,410.25,410.25,400.5,400.5,47,526
1248220800,400.5,402,398.5,398.5,20,529
1248307200,411,416,410.5,415,2,529
1248393600,420,420,402,402,65,534
1248652800,408,410,408,409.75,4,533
1248739200,409,409,404.75,404.75,2,533
1248825600,403.5,405,403.5,403.75,3,533
1248912000,417.75,417.75,416.5,417.75,0,533
1248998400,416,425,416,425,2,533
1249257600,430,442.25,430,441,6,537
1249344000,430,442.75,430,438.25,4,538
1249430400,438,440,430,434.5,90,573
1249516800,427,427,415.75,417.25,3,574
1249603200,411.5,413,401.5,401.5,11,576
1249862400,403,407,403,406,4,578
1249948800,407.25,407.25,407.25,407.25,0,577
1250035200,415.25,418,415.25,415.25,0,577
1250121600,419.25,421,411.25,411.25,2,578
1250208000,407,408,407,408,6,578
1250467200,400.25,405,400.25,405,2,579
1250553600,404.75,406,403.5,406,23,585
1250640000,409.75,410.5,409.75,409.75,16,585
1250726400,406.5,406.5,405.25,405.25,2,583
1250812800,405,408.25,405,408.25,2,582
1251072000,410.25,415.5,410,415.5,20,592
1251158400,415,415,406.75,406.75,4,596
1251244800,405,405,405,405,0,596
1251331200,403,407.75,403,407.75,5,591
1251417600,409.5,409.5,407.5,409.5,0,591
1251676800,408.25,408.25,408.25,408.25,0,591
1251763200,404,404,399.75,399.75,6,591
1251849600,397,398.25,395,398.25,7,596
1251936000,398.75,398.75,392.25,394,12,599
