time,open,high,low,close,Total Candles,Volume,Futures Open Interest
674870400,262.5,262.5,257,259,0,0,0
674956800,258.75,258.75,258.75,258.75,1,0,0
675043200,257.5,259.75,257.5,259.75,2,0,0
675388800,255,255.5,255,255.5,3,0,0
675475200,256,256,256,256,4,0,0
675561600,255,255,254,254.5,5,0,0
675648000,256,256,255.5,255.5,6,0,0
675907200,258,258,253.25,254.75,7,0,0
675993600,254.5,255.5,254,254,8,0,0
676080000,254,255.25,254,255.25,9,0,0
676166400,256,257.75,256,257,10,0,0
676252800,256.75,257.75,256.75,257.75,11,0,0
676512000,256,257,253,253,12,0,0
676598400,252.5,254.5,252.5,254.5,13,0,0
676684800,254,255,253.5,254,14,0,0
676771200,253,254,253,254,15,0,0
676857600,254,255.5,253,255.5,16,0,0
677116800,255,257,254,254.5,17,0,0
677203200,254,255.75,254,254.5,18,0,0
677289600,255.5,256,255.25,255.5,19,0,0
677376000,255.5,255.75,254,254,20,0,0
677462400,253.5,253.5,250.75,250.75,21,0,0
677721600,252,253,252,253,22,0,0
677808000,254,254,251.75,251.75,23,0,0
677894400,250.75,251,250.5,251,24,0,0
677980800,250.5,250.5,247.25,247.25,25,0,0
678067200,245,245,239,242,26,0,0
678326400,243,246,242.5,246,27,0,0
678412800,247,247,243,244,28,0,0
678499200,243.5,243.75,243,243,29,0,0
678672000,241,242,240,240.5,30,0,0
678931200,243,243,238,238.5,31,0,0
679017600,240,240.5,238.5,239.25,32,0,0
679104000,239,240,238.75,239,33,0,0
679190400,237.5,239,236.5,237.5,34,0,0
679276800,239,241,239,239.5,35,0,0
679536000,241.25,242.5,241,241,36,0,0
679622400,243.5,246,243.5,246,37,0,0
679708800,246,250,246,248.5,38,0,0
679795200,248,248,244,244,39,0,0
679881600,244.5,246.5,244,246,40,0,0
680140800,248,250,248,249.75,41,0,0
680227200,254,256.5,252.5,255.5,42,0,0
680313600,253,254.5,248.5,250,43,0,0
680400000,251,253.5,249.5,250.25,44,0,0
680486400,250,251.5,250,250.75,45,0,0
680745600,255.5,258,253,253.25,46,0,0
680832000,252,255.5,251.75,252,47,0,0
680918400,251.75,255,247,252,48,0,0
681004800,255,257,253,254.5,49,0,0
681091200,254,257.5,254,255.5,50,0,0
681350400,254,255,251,251.5,51,0,0
681436800,248,250,247.5,249.75,52,0,0
681523200,249,251,248.25,250,53,0,0
681609600,249,252.5,249,252.25,54,0,0
681696000,253,255.5,252.5,254.75,55,0,0
681955200,254.75,256.5,254.5,254.5,56,0,0
682041600,254.5,256,253,256,57,0,0
682128000,256.5,256.5,251.5,252.5,58,0,0
682214400,250,251.5,249.5,251,59,0,0
682300800,250,251.5,249,250.25,60,0,0
682560000,242,248,242,245.5,61,0,0
682646400,245.5,248,244,247.5,62,0,0
682732800,254,257.5,252.5,256.5,63,0,0
682819200,256,256,252.5,254,64,0,0
682905600,253,255,251.25,252,65,0,0
