time,open,high,low,close,Volume,Futures Open Interest
1215648000,661,661,661,661,0,0
1215734400,661,661,661,661,1,1
1215993600,655,660,655,655,0,1
1216080000,654.25,660,645.75,650,57,57
1216166400,659,659,648,659,1,57
1216252800,650,655,642.75,645,16,69
1216339200,644,647,640,640,16,83
1216598400,640,640,634,635,14,97
1216684800,632,633,625.25,633,12,105
1216771200,603,640,603,631,40,140
1216857600,625,625,625,625,2,138
1216944000,615,622,612,622,34,172
1217203200,620,625.25,620,625.25,5,143
1217289600,625.25,635.5,625,635.5,10,144
1217376000,632,650,632,650,31,169
1217462400,645,650,637,644,7,173
1217548800,643.5,645,632,634,10,177
1217808000,624,624,607.5,607.5,10,180
1217894400,597.5,615,596.25,603,30,199
1217980800,586,594,586,586,2,199
1218067200,598,599.25,598,599.25,1,199
1218153600,586,586,570,570,10,200
1218412800,563,588,563,566,22,200
1218499200,568,568,568,568,0,200
1218585600,595.25,598,595,595,10,210
1218672000,611.25,617.5,599.5,610,82,238
1218758400,601.75,603.75,589.5,589.5,29,245
1219017600,610.5,619.5,607,607,86,290
1219104000,622,625,616.25,616.25,14,295
1219190400,630,634.5,624,624,19,314
1219276800,647,647,634,641,34,319
1219363200,644,644.75,631,631,127,405
1219622400,650,650,629.75,632,54,363
1219708800,628.75,631.5,628.75,629,32,356
1219795200,630,630,630,630,0,341
1219881600,630,633.25,622.75,622.75,26,351
1219968000,618.5,618.5,618.5,618.5,0,351
1220313600,605,608.5,602,602,11,354
1220400000,593,596.25,591,596.25,35,384
1220486400,599,606,597,597,1,385
1220572800,591,591,583,583,2,385
1220832000,587,587,584.5,584.5,4,385
1220918400,577,588.75,573.75,582.5,28,397
1221004800,582,582,578.5,578.5,24,411
1221091200,580.5,582,575,575,3,412
1221177600,584,596.5,584,595.5,30,429
1221436800,587.5,595.75,585.5,585.5,71,477
1221523200,572,572,557,557,4,479
1221609600,567,584,567,575,18,484
1221696000,575,576.25,555.25,555.25,6,484
1221782400,556.5,577,556.5,570,11,475
1222041600,595.5,600,589,589,4,477
1222128000,600,600,593.5,593.5,1,477
1222214400,600,604.25,597.5,597.5,16,481
1222300800,600.75,600.75,596,596,1,481
1222387200,590,590,580.75,580.75,27,485
1222646400,555.75,560,550.75,550.75,10,490
1222732800,536.25,549,536.25,536.25,0,490
1222819200,538,542.5,530,530,19,501
1222905600,530,531,502.5,502.5,52,523
1222992000,527.5,527.5,503.5,503.5,6,525
1223251200,500,500,473.5,473.5,44,540
1223337600,474,477.25,468.5,468.5,38,550
1223424000,472.5,476.5,468,473,21,555
1223510400,487,497.5,487,497.5,3,555
1223596800,470,470,467.5,467.5,11,555
1223856000,484,486,478.25,482.5,30,555
1223942400,495,495,487.5,487.5,13,557
1224028800,485,485,467.5,469.5,40,561
1224115200,469.5,469.5,455,461,87,551
1224201600,468,482,458,481,18,548
1224460800,493,497.5,486.75,497.5,14,546
1224547200,499,500,484.75,484.75,43,577
1224633600,470.75,470.75,457.5,460,5,577
1224720000,462.25,469,460,465.25,46,592
1224806400,466.5,468,446,446,14,587
1225065600,440,458.75,440,458.75,10,591
1225152000,461.25,465,461.25,465,1,590
1225238400,491.25,492.5,491.25,491.25,0,590
1225324800,491.25,491.25,478.5,478.5,4,592
1225411200,472.5,472.75,472.5,472.5,0,592
1225674000,473.75,474.5,471,473.75,0,592
1225760400,485,485,483.5,485,0,592
1225846800,470.25,475.75,470.25,470.25,7,585
1225933200,460,467.5,460,467.5,1,584
1226019600,453.5,462.5,453.5,453.5,0,584
1226278800,453.5,466,453.5,466,4,581
1226365200,455,458.5,455,455,0,581
1226451600,460,460,450,450,3,581
1226538000,450.5,455.25,448.5,455.25,2,580
1226624400,456,456,456,456,0,580
1226883600,459,459,459,459,1,580
1226970000,459,459,453.5,453.5,102,557
1227056400,451.5,451.5,451.5,451.5,19,572
1227142800,440.5,442.5,440.5,440.5,10,572
1227229200,434,438,424.25,428.75,127,662
1227488400,446,446,442.75,442.75,25,662
1227574800,443,443,443,443,2,663
1227661200,445,446,445,446,9,663
1227834000,443,443,442.5,442.5,7,663
1228093200,433,433,432.25,432.25,2,663
1228179600,432.5,432.5,428.5,428.5,7,663
1228266000,432.75,433.75,426.25,426.25,2,663
1228352400,423,426.75,412.75,412.75,21,663
1228438800,412.75,412.75,385.75,387,77,665
1228698000,399.5,406,399.5,405.25,73,701
1228784400,405,405,405,405,0,701
1228870800,414.25,420.75,414.25,420.75,11,706
1228957200,426.75,433.5,426.75,428,13,706
1229043600,425.75,453.5,425.75,447,15,706
1229302800,448.5,449.75,444.5,444.5,26,714
1229389200,450.75,458,450.5,457.25,7,716
1229475600,460,460.5,453.75,457.25,42,722
1229562000,460,460,455,457,9,724
1229648400,446,449,446,446,0,724
1229907600,448.75,450,448.75,449.25,3,723
1229994000,455.75,461.25,454.5,461.25,5,728
1230080400,463.5,463.5,463.5,463.5,0,728
1230253200,467,475.5,467,475.5,8,731
1230512400,478.25,478.25,457.75,457.75,7,730
1230598800,458,463,458,463,15,728
1230685200,462.25,473.5,460,473.5,42,755
1230858000,470,477.75,470,477.75,34,768
1231117200,477,477,472.25,477,0,768
1231203600,480,492.25,480,492.25,38,780
1231290000,481.25,481.25,480,480,1,781
1231376400,471.25,473.75,471.25,471.25,0,781
1231462800,479,479,473,473.75,89,747
1231722000,454.25,454.25,454.25,454.25,10,747
1231808400,453,453,441,441,3,749
1231894800,449.5,449.5,446,446,4,748
1231981200,446,446,445.5,445.5,16,746
1232067600,454,471.75,454,471.75,10,750
1232413200,470,474,464,464,406,753
1232499600,467.75,467.75,464.5,467.75,0,753
1232586000,463.75,468,460.5,465,11,758
1232672400,467.25,469.25,465.5,465.5,9,754
1232931600,469,469.5,465,465,6,757
1233018000,460,460,450.75,450.75,19,767
1233104400,451,456.5,451,456.5,5,772
1233190800,454.75,454.75,452.5,454.75,40,784
1233277200,452,452,452,452,40,784
1233536400,445,450,445,445,0,785
1233622800,445,445,430,434.25,20,801
1233709200,436,437.25,430,430,60,803
1233795600,431.5,442.25,431.5,442.25,23,804
1233882000,445,450,444,447.75,49,813
1234141200,448.25,448.25,448.25,448.25,1,813
1234227600,440,446,439.5,444.5,23,818
1234314000,441.5,443,438.5,438.5,13,819
1234400400,438,445.25,437.75,437.75,15,819
1234486800,438,439.5,435,435,24,840
1234832400,423,424,417,418.25,43,845
1234918800,412.75,412.75,411.5,412,31,826
1235005200,420,421.75,419,419.25,37,836
1235091600,419,419,410,415,23,831
1235350800,418,420,415,418.75,95,858
1235437200,416,421,415.5,421,10,860
1235523600,421,432.25,421,429,29,878
1235610000,430,431.75,430,430,13,879
1235696400,423,423,418,418,1,879
1235955600,405.75,405.75,401.5,405.75,62,912
1236042000,406.5,407.75,405.75,406,27,916
1236128400,415.25,420,415.25,419,60,967
1236214800,412.5,413,411.5,411.5,12,975
1236301200,415,415,415,415,3,978
1236556800,422,422,417.5,418,24,984
1236643200,430,432.75,426.5,428.75,110,1034
1236729600,421.5,426.25,421.5,421.5,192,1133
1236816000,434.75,440.5,433.25,440.5,19,1147
1236902400,440,442,438.5,440.5,7,1149
1237161600,440,448,440,444.25,70,1189
1237248000,444,445.25,444,445.25,2,1189
1237334400,444,444,443,443,70,1245
1237420800,450,455,449.75,452.25,106,1325
1237507200,450,452.5,449.5,451.5,88,1400
1237766400,451.5,457.5,450,450,196,1518
1237852800,449.75,451,447,449,128,1624
1237939200,449,449,443.25,443.25,18,1635
1238025600,448.5,448.5,445.5,448.5,0,1635
1238112000,448.5,448.5,446,446,9,1637
1238371200,440,444,440,444,18,1646
1238457600,444.75,457.75,444.75,457.75,23,1643
1238544000,449.75,452.5,449.5,449.5,5,1645
1238630400,460,460,454,456.5,69,1653
1238716800,453,459.5,453,459.5,1,1654
1238976000,459,461.5,459,461.5,75,1718
1239062400,459,459,453.5,453.5,29,1732
1239148800,453.5,453.75,453.5,453.75,7,1736
1239235200,456.5,460,450,450,39,1745
1239580800,450,450,446,449.25,15,1741
1239667200,449.25,456.75,449.25,453,13,1748
1239753600,450.5,450.5,442.25,442.25,7,1745
1239840000,444,444,442,443.75,37,1773
1239926400,440.75,441,433.5,433.5,10,1782
1240185600,431,431,420,426.5,42,1809
1240272000,432,433,431.5,431.5,27,1825
1240358400,432.75,433,430,432.25,28,1835
1240444800,431.75,440,431,440,19,1834
1240531200,441,442,434.75,434.75,33,1837
1240790400,431,431,422.25,431,8,1837
1240876800,431.25,434,429,434,45,1865
1240963200,439.5,448.5,438.5,448.5,119,1965
1241049600,450,452,442.25,447.25,37,1977
1241136000,449.25,456.5,448.25,456.25,150,2084
1241395200,451,451.5,446.25,449.5,7,2085
1241481600,450,452,445.75,450.5,185,2140
1241568000,450.5,452,449.75,449.75,76,2142
1241654400,449.5,456,449.25,450.5,105,2170
1241740800,452.5,453.5,452.25,453.5,11,2170
1242000000,452.5,452.5,450,451.75,11,2170
1242086400,452,456,452,453.25,405,2482
1242172800,453,455,449,451,60,2491
1242259200,450,453.75,449,453.75,14,2498
1242345600,455,455,443.25,443.25,5,2501
1242604800,439.75,450,439.75,450,20,2506
1242691200,450,455,450,452.5,38,2504
1242777600,458,459,452,452.5,52,2525
1242864000,452.5,452.5,444.5,444.5,13,2529
1242950400,447.75,453,445.75,450.5,86,2572
1243296000,448.5,458,448.5,457.75,49,2607
1243382400,459,462,455.25,456.25,140,2700
1243468800,458,460,457.5,458,29,2692
1243555200,457.75,463,457.75,462.25,31,2695
1243814400,462.75,471.5,462.75,471.5,211,2859
1243900800,468,478.5,468,478.5,94,2868
1243987200,476,476,464,464,51,2869
1244073600,463,476,463,476,11,2872
