time,open,high,low,close,Total Candles,Volume,Futures Open Interest
580608000,235,238,235,237,0,0,0
580694400,240.5,244,240.5,244,1,0,0
581040000,252,252,250,251.75,2,0,0
581126400,250.5,251.5,246.5,247,3,0,0
581212800,250,250,246,246,4,0,0
581299200,250,251,249.5,250,5,0,0
581558400,259,260,259,260,6,0,0
581644800,270,270,250,255,7,0,0
581731200,252,259,250,251,8,0,0
581817600,251,255,251,252,9,0,0
581904000,254,258.5,253,253,10,0,0
582163200,254,256,252,253,11,0,0
582249600,254,260,254,256.5,12,0,0
582336000,266.5,266.5,265,266.5,13,0,0
582422400,275,275,255,267.5,14,0,0
582508800,265,268.25,260,260.5,15,0,0
582768000,270,274,266,270.25,16,0,0
582854400,272,276,264,272.5,17,0,0
582940800,267,282,267,279,18,0,0
583027200,280,287,272.5,272.75,19,0,0
583113600,268,278,268,272.5,20,0,0
583372800,282.5,282.5,279.5,282.5,21,0,0
583459200,278,286,276,280.25,22,0,0
583545600,266,273,265.25,265.25,23,0,0
583632000,270,280,268,273.5,24,0,0
583718400,278,283.5,273,283.5,25,0,0
584064000,293,295,283.5,286,26,0,0
584150400,286,290,285,285,27,0,0
584236800,286,288,270,270.5,28,0,0
584323200,270,278,267,268.5,29,0,0
584582400,264,265,254.5,255.5,30,0,0
584668800,259,270.5,258,265.5,31,0,0
584755200,270,275.5,269,275.5,32,0,0
584841600,290.5,290.5,285,285.5,33,0,0
584928000,281,285,277,278.5,34,0,0
585187200,263.5,263.5,263.5,263.5,35,0,0
585273600,256,269,256,265,36,0,0
585360000,269,275,263,270,37,0,0
585446400,272,280,269,276,38,0,0
585532800,277,278,275,275.75,39,0,0
585792000,273.75,273.75,266,266.75,40,0,0
585878400,262,264,252.25,257.5,41,0,0
585964800,258,263,257,259.5,42,0,0
586051200,259,270,257,261.5,43,0,0
586137600,261.5,270.5,261.5,267.75,44,0,0
586396800,278.75,282.75,272,281.5,45,0,0
586483200,278,281,270.5,270.75,46,0,0
586569600,271,274.5,265,270.5,47,0,0
586656000,274,275,270,270,48,0,0
586742400,270,276,266.5,270,49,0,0
587001600,263,270,263,266.5,50,0,0
587088000,266.5,272.5,266.5,268.25,51,0,0
587174400,269,273,269,270.25,52,0,0
587260800,270.5,273,267,267.25,53,0,0
587347200,273,274,261,263.5,54,0,0
587606400,264,273.5,264,271.25,55,0,0
587692800,269,272.25,265.5,265.75,56,0,0
587779200,264,269,264,268.75,57,0,0
587865600,269.25,269.5,266,266.75,58,0,0
587952000,266.75,267.25,265,265.25,59,0,0
588211200,264,264.5,260.5,261.5,60,0,0
588297600,261,263,260,261.75,61,0,0
588384000,263,267.5,261.5,265.75,62,0,0
588470400,266.5,268,264.5,265.5,63,0,0
588556800,265,268.5,264.5,268.25,64,0,0
588816000,267.25,267.25,262.5,264,65,0,0
588902400,265,268,264.5,264.5,66,0,0
588988800,265,271.5,265,270,67,0,0
589075200,274,274,269,269.25,68,0,0
589161600,268.5,271.5,268,270.75,69,0,0
589507200,271,274.5,268,272.5,70,0,0
589593600,272,275,272,273.5,71,0,0
589680000,272,274,271,273,72,0,0
589766400,272,272.75,270.25,271.25,73,0,0
590025600,271,273,269,270.25,74,0,0
590112000,267.25,277.5,267.25,273.25,75,0,0
590198400,274,276.5,273,273,76,0,0
590284800,273,274.5,270.5,271,77,0,0
590371200,271,274,270,270.75,78,0,0
590630400,269.5,271,267.5,268.75,79,0,0
590716800,269,269.5,266,266.25,80,0,0
590803200,267,269,265,265,81,0,0
590889600,264.5,266.5,262,265.75,82,0,0
590976000,265.25,266.75,265,265.25,83,0,0
591235200,264.5,265,261.75,262,84,0,0
591321600,261.5,264,260.5,261.75,85,0,0
591408000,261.75,265,261.75,264.25,86,0,0
591494400,264.5,264.75,256,256.75,87,0,0
591580800,257.5,259.5,256.75,258.75,88,0,0
591840000,257.5,259.5,256.25,259.25,89,0,0
591926400,259,260,256.5,258.75,90,0,0
592012800,259.5,260,257.75,258,91,0,0
592099200,256.75,260,256,258.75,92,0,0
592185600,258.5,261.5,256.5,256.75,93,0,0
592444800,256.75,259,256.5,259,94,0,0
592531200,257.75,259.5,255.75,257,95,0,0
592617600,258,259.25,257.25,257.25,96,0,0
592704000,259,260,258,259.25,97,0,0
