time,open,high,low,close,Total Candles,Volume,Futures Open Interest
967593600,235,236.25,235,236.25,0,18,12760
967680000,235,237.75,235,237.75,1,18,13089
968112000,235,239.5,235,239.5,2,18,13246
968198400,235,236.25,235,236.25,3,18,13413
968284800,235,235.75,235,235.75,4,18,13390
968371200,235,237.5,235,237.5,5,18,0
968630400,235,237.25,235,237.25,6,18,13441
968716800,235,235.75,235,235.75,7,18,13441
968803200,235,235,234,234,8,18,13849
968889600,235,235,232.75,232.75,9,9,14337
969235200,231,231,231,231,10,9,14424
969321600,231,232.75,231,232.75,11,9,14582
969408000,231,231,231,231,12,9,14676
969494400,231,233.5,231,233.5,13,9,15411
969840000,231,236,231,236,14,9,15493
969926400,231,236.75,231,236.75,15,9,15549
970012800,231,236.5,231,236.5,16,9,16008
970099200,231,238,231,238,17,9,16739
970444800,231,242.25,231,242.25,18,9,16798
970531200,231,245.5,231,245.5,19,9,16954
970617600,231,246.5,231,246.5,20,9,17573
970704000,231,245.75,231,245.75,21,9,17957
971049600,231,243.75,231,243.75,22,9,18144
971136000,231,246,231,246,23,9,18133
971222400,231,246.5,231,246.5,24,9,18423
971308800,231,248.75,231,248.75,25,2,20467
971654400,248.25,248.25,248.25,248.25,26,2,19731
971740800,247,247,247,247,27,2,19909
971827200,247,248,247,248,28,2,20166
971913600,246.75,246.75,246.75,246.75,29,21,21030
972259200,245.5,245.5,245,245,30,21,21691
972432000,245.5,245.5,245,245.5,31,1,21692
972518400,244.25,244.25,244.25,244.25,32,1,22210
972604800,244.25,244.25,244.25,244.25,33,1,22495
972867600,244.25,244.25,243.25,243.25,34,11,22814
972954000,243,243,243,243,35,12,23397
973126800,249,251,249,251,36,7,23926
973213200,253,253,253,253,37,12,24194
973472400,254,254,254,254,38,12,24760
973558800,254,255.75,254,255.75,39,8,25616
973731600,256.5,256.75,256.5,256.75,40,8,25919
973818000,256.5,256.75,255.5,255.5,41,2,26087
974077200,253,253,253,253,42,5,26351
974163600,253,253,251.25,251.25,43,5,27089
974250000,253,253,250.25,250.25,44,7,28713
974422800,252,253,252,253,45,51,29448
974682000,254.5,255,254.5,255,46,17,30147
974854800,253.25,253.5,252.5,252.5,47,1,30458
975286800,254,254,254,254,48,8,30592
975373200,252.75,253.25,251.5,251.5,49,4,30563
975546000,249.25,250,249.25,250,50,1,31235
975632400,252,252,252,252,51,3,31670
975891600,252,252.5,252,252.5,52,6,32195
976150800,250,250,250,250,53,17,33405
976496400,251,251.25,251,251,54,3,34254
976582800,251,251,251,251,55,3,34327
976669200,250,250,250,250,56,1,34382
976755600,251.25,251.25,251.25,251.25,57,6,34765
976842000,251,252,251,252,58,3,34801
977101200,251,252,251,252,59,6,36198
977187600,255.25,256,255.25,256,60,23,36573
977274000,257.5,257.5,257.5,257.5,61,6,37098
977360400,256,256.25,256,256.25,62,25,37588
977446800,257.5,258,257.5,258,63,30,38226
977878800,257.5,257.5,257,257.5,64,65,39415
977965200,259.25,259.75,259.25,259.75,65,34,41637
978051600,260.25,260.5,260.25,260.5,66,16,42416
978397200,261,262,261,262,67,8,42927
978483600,258,258,258,258,68,50,43626
978570000,261,261,261,261,69,11,44184
978656400,260,260.5,260,260.5,70,3,45278
978915600,257.5,257.5,257.25,257.25,71,8,44790
979002000,258,258,258,258,72,4,45262
979088400,259.25,259.25,258.25,259.25,73,236,46242
979174800,261,262.5,261,262.5,74,59,48566
979261200,256,256.5,256,256.5,75,231,51892
979606800,253.5,254.25,253,253,76,21,54612
979693200,251.5,251.5,251.25,251.25,77,36,55874
979779600,252.25,253,252.25,253,78,119,56087
979866000,253.75,253.75,253.25,253.75,79,36,58665
980125200,249.75,249.75,249,249,80,119,60420
980211600,250.5,251,250.5,251,81,119,61294
980298000,248.75,249.5,248.75,249.5,82,5,61801
980384400,249.75,250,249.75,250,83,27,62948
980470800,247.75,248.25,247.75,248,84,5,67726
980730000,246,246.25,245,245,85,73,68117
980816400,244,245.25,244,245.25,86,73,68286
980902800,245.5,246,245.5,246,87,11,68492
980989200,244.5,245,244.25,244.25,88,4,70060
981075600,246.75,247,246.75,247,89,12,71083
981334800,248.75,249,248.5,249,90,9,71168
981421200,247.25,247.25,247.25,247.25,91,3,71529
981507600,249,249,249,249,92,8,71603
981594000,247,247,246.5,246.5,93,3,72044
981680400,245,245,245,245,94,17,74975
981939600,245.5,245.5,245,245,95,30,75476
982112400,243.75,245,243.75,245,96,37,76021
982198800,246.75,249,246.75,247.75,97,20,76564
982285200,246.75,247,246.75,246.75,98,37,77229
982630800,246.5,247.75,246.5,247.75,99,22,78295
982717200,247,247.5,247,247.5,100,8,78156
982803600,245.25,245.25,245.25,245.25,101,2,80331
983149200,244,244.25,244,244,102,4,80976
983235600,244.5,244.5,244.5,244.5,103,35,81268
983322000,245.5,246,245.5,246,104,28,81897
983408400,249,249.25,248.75,249.25,105,124,81265
983494800,251,251.75,250.5,251.75,106,18,81984
983840400,249.75,249.75,249.5,249.5,107,42,83107
983926800,249.5,250.5,249.5,250.5,108,84,84220
984013200,249,249,246.75,247,109,37,84761
984099600,247.5,248,247.5,248,110,38,85175
984358800,246.5,247,246.5,246.5,111,4,86044
984445200,247.5,248.5,247.5,248.5,112,31,86485
984531600,247,247,246.25,246.25,113,110,86793
984618000,244.5,244.75,243.5,243.5,114,156,90090
984704400,237.75,238.5,237.5,237.5,115,105,92978
984963600,234,235.25,234,235.25,116,50,94068
985050000,235.25,235.75,235.25,235.75,117,32,93887
985136400,238,238.5,238,238,118,49,95831
985222800,236.25,236.25,235.75,236.25,119,54,97070
985309200,231.5,232.25,230.75,230.75,120,165,97129
985568400,233.25,235,233.25,233.25,121,13,97721
985654800,236,236.25,236,236.25,122,6,97891
985741200,237,237,237,237,123,31,98176
985827600,235,235.5,235,235.5,124,108,98176
985914000,233,233.25,232.5,233,125,28,102272
986169600,234.75,235.75,234.5,235.75,126,44,103096
986342400,235.5,236,235.5,236,127,69,103559
986428800,238,239,238,239,128,155,104855
986515200,238.75,241,238.75,241,129,115,104805
986774400,237,239,237,239,130,29,105565
986860800,237.5,238.25,237.5,237.75,131,33,105963
986947200,235.75,236.25,235.75,236.25,132,52,106634
987033600,237,237.5,237,237.5,133,77,109211
987379200,238.5,240.5,238.5,240,134,68,112000
987465600,239,240,238.5,239,135,77,111553
987552000,235.75,236.5,235.75,236,136,51,112148
987638400,235,235.5,235,235.25,137,231,115814
987724800,230,230.75,229.75,230.75,138,109,117385
987984000,227.75,228.75,227,227.5,139,277,120022
988070400,222.5,223.75,222.5,223.5,140,168,119807
988156800,220.25,221,220.25,220.25,141,277,121702
988243200,221.75,222.75,221.75,222.75,142,294,121503
988329600,226.25,226.25,224.75,224.75,143,364,120871
988588800,222.5,223.25,222,222,144,90,119274
988675200,226,227,226,226,145,84,116924
988761600,226.75,227.75,226.75,227.75,146,112,116737
988848000,228,228.75,227.5,227.75,147,93,117505
988934400,227,227.5,226.5,227,148,112,118225
989193600,229.25,231,228.75,228.75,149,312,119430
989280000,227,227,225.75,226,150,89,119211
989366400,224,224.25,222.75,223.25,151,40,120307
989452800,223.75,223.75,223.25,223.75,152,263,122714
989539200,217.75,218,217.75,217.75,153,30,123460
989798400,216.5,217.5,216.5,216.75,154,125,123853
989884800,221,221,220.5,221,155,185,125077
989971200,220.5,220.5,220,220,156,144,126481
990057600,220.25,220.25,220,220.25,157,36,124657
990144000,220,220.5,219.75,220.5,158,59,124377
990403200,218,218,217,217,159,146,125558
990489600,212.5,213.5,212.5,212.5,160,235,127251
990576000,210,211.75,210,211.75,161,84,129995
990662400,211.5,212.5,211.25,212.5,162,132,130161
990748800,213,213,212.5,213,163,366,130786
991094400,210,211,209,210,164,152,132360
991180800,208.5,209.25,208,208,165,249,133475
991267200,209,209.25,208,209,166,152,136962
991353600,211,211.75,211,211.75,167,384,135738
991612800,216,216.25,216,216,168,554,136363
991699200,216,217,215.75,216.25,169,195,137010
