time,open,high,low,close,Total Candles,Volume,Futures Open Interest
977187600,266,266,266,266,0,15,1014
977274000,266,268,266,268,1,15,3783
984963600,257,257,257,257,2,15,3825
985050000,259.75,259.75,259.75,259.75,3,15,4022
985136400,259,259,259,259,4,15,4127
985222800,255,255,255,255,5,15,4176
985568400,259.75,259.75,259.75,259.75,6,15,4181
985654800,261,261,261,261,7,15,4221
985741200,258.75,258.75,258.75,258.75,8,15,4323
985827600,257.25,257.25,257.25,257.25,9,3,4776
986169600,259.25,259.25,259.25,259.25,10,3,4135
986256000,259.25,261.5,259.25,261.5,11,3,4602
986342400,264,264,264,264,12,11,4538
986515200,263,264,263,264,13,1,4734
986774400,261,261.5,261,261.5,14,11,4753
986860800,260.5,260.5,260.5,260.5,15,1,4781
987033600,262.75,262.75,262.75,262.75,16,7,4771
987379200,262.5,263.75,262.5,263.75,17,7,5047
987465600,260.25,260.25,260.25,260.25,18,7,5032
987552000,259.75,259.75,259.75,259.75,19,7,5122
987638400,257.25,257.25,257.25,257.25,20,7,5346
987984000,252.25,252.25,252.25,252.25,21,7,5316
988070400,251,251,251,251,22,7,5209
988156800,251.25,251.25,251.25,251.25,23,7,5193
988243200,256.5,256.5,256.5,256.5,24,7,5762
988588800,257.5,257.5,257.5,257.5,25,7,5811
988675200,258.25,258.25,258.25,258.25,26,7,5828
988761600,259.5,259.5,259.5,259.5,27,7,5957
988848000,258.25,258.25,258.25,258.25,28,7,6238
989193600,258.25,258.25,258.25,258.25,29,7,6486
989366400,255,255,255,255,30,4,6471
989539200,251,251,251,251,31,4,6598
989798400,251,253.25,251,253.25,32,4,6553
989884800,252.5,252.5,252.5,252.5,33,4,6712
989971200,251.25,251.25,251.25,251.25,34,4,6822
990057600,252.75,252.75,252.75,252.75,35,4,6888
990403200,245.75,245.75,245.75,245.75,36,4,6840
990489600,245.25,245.25,245.25,245.25,37,4,6997
990576000,246.5,246.5,246.5,246.5,38,4,6996
990662400,248.5,248.5,248.5,248.5,39,4,7030
991094400,244.5,244.5,244.5,244.5,40,4,6967
991180800,245.75,245.75,245.75,245.75,41,4,7138
991267200,248.75,248.75,248.75,248.75,42,1,7527
991612800,250.5,250.5,250.5,250.5,43,3,7942
991699200,252.25,252.25,252.25,252.25,44,2,8171
991872000,253.25,253.25,245,245,45,5,8290
991958400,250,250,250,250,46,2,8321
992217600,249.5,250.5,249.5,250.5,47,2,8155
992304000,250.5,250.5,250.5,250.5,48,2,8330
992390400,250.25,250.25,250.25,250.25,49,2,8402
992476800,248.75,248.75,248.75,248.75,50,2,8536
992822400,245.75,245.75,245.75,245.75,51,2,8634
992908800,247.25,247.25,247.25,247.25,52,2,8717
992995200,245.25,245.25,245.25,245.25,53,2,8714
993081600,242.25,242.25,242.25,242.25,54,2,8790
993427200,240.75,240.75,240.75,240.75,55,2,8800
993513600,242.25,242.25,242.25,242.25,56,2,8960
993686400,245,245,245,245,57,1,8930
994032000,247.5,247.5,247.5,247.5,58,1,8992
994118400,247.5,249.75,247.5,249.75,59,1,8867
994291200,251.75,251.75,251.75,251.75,60,27,9296
994723200,255,256,255,256,61,7,9422
994809600,258,259.5,258,259.5,62,27,10463
994896000,260.5,262.5,260.5,261,63,26,10630
995241600,261,261,250,261,64,10,11060
995328000,252,252,252,252,65,1,11059
995500800,247,247,247,247,66,8,11475
995846400,245.5,245.5,245.5,245.5,67,4,10343
995932800,249,251.25,249,251.25,68,34,10420
996019200,253,253,253,253,69,6,10516
