time,open,high,low,close,Volume,Futures Open Interest
1292288400,534.75,534.75,534.75,534.75,0,0
1292374800,512,512,512,512,2,1
1292461200,516.5,516.5,516.5,516.5,2,1
1292547600,525.5,525.5,525.5,525.5,2,1
1292806800,525,525.75,525,525.75,6,6
1292893200,529.75,529.75,529.75,529.75,6,6
1292979600,530.5,530.5,530.5,530.5,6,6
1293066000,525,532.25,525,532.25,20,26
1293411600,524.5,524.5,524.5,524.5,20,26
1293498000,524.5,524.5,524.5,524.5,20,26
1293584400,524,524,524,524,20,26
1293670800,524.25,524.25,524.25,524.25,20,26
1293757200,524,524,524,524,20,26
1294016400,524.75,524.75,522.5,522.5,11,37
1294102800,517,518.5,517,518.5,5,41
1294189200,540.25,540.25,540.25,540.25,5,41
1294275600,515,523,512,523,7,47
1294362000,519,519,519,519,7,47
1294621200,520,520,520,520,7,47
1294707600,520,523.75,520,520,7,52
1294794000,525,525,520,520,6,55
1294880400,520,528.5,515,528.5,2,57
1294966800,520,530.75,520,530.75,2,59
1295312400,533.5,533.5,533.5,533.5,2,59
1295398800,524,526.75,522,526.75,2,60
1295485200,533.5,533.5,533.5,533.5,2,60
1295571600,540.25,540.25,540.25,540.25,2,60
1295830800,541.25,541.25,541.25,541.25,2,60
1295917200,525,535.5,525,535.5,1,61
1296003600,525,543.75,525,543.75,13,69
1296090000,537.75,537.75,537.75,537.75,13,69
1296176400,530.5,530.5,530.5,530.5,13,69
1296435600,530,541.25,530,541.25,15,84
1296522000,549,549,549,549,15,84
1296608400,534,545.25,534,545.25,16,99
1296694800,539.75,539.75,533.25,537.75,2,99
1296781200,537.75,551.5,537.75,551.5,1,99
1297040400,549,549,549,549,1,99
1297126800,555.5,555.5,555.5,555.5,1,99
1297213200,540,556,539,556,6,103
1297299600,548,559.5,548,559.5,15,115
1297386000,555.5,560,555,558.25,36,150
1297645200,550,550,549.5,549.5,1,151
1297731600,545,549.5,535.5,535.5,32,178
1297818000,544,544,537,537,12,188
