time,open,high,low,close,Total Candles,Volume,Futures Open Interest
1170723600,358.25,358.25,358.25,358.25,0,0,0
1170810000,350,350,350,350,1,22,0
1170896400,350,352,350,352,2,3,58
1170982800,352,352,350,350,3,3,84
1171242000,346,346,346,346,4,12,98
1171328400,349,350,349,349,5,4,112
1171414800,360,360,352.5,354,6,4,152
1171501200,356,356,356,356,7,2,152
1171587600,356,360,356,360,8,13,186
1171933200,362,369,360,363.5,9,14,225
1172019600,364,370.5,364,370.5,10,6,258
1172106000,370,372.5,370,372.5,11,5,282
1172192400,372,372,368,368,12,7,290
1172451600,373,373,370,372.25,13,2,302
1172538000,365,365,363,363,14,11,306
1172624400,362,367,362,367,15,1,319
1172710800,364,364,362,362,16,4,377
1172797200,362,362,361,361,17,4,389
1173056400,360,360,360,360,18,0,396
1173142800,362,362,362,362,19,0,403
1173229200,364,364,364,364,20,5,407
1173315600,364,372,363,363,21,7,459
1173402000,365,367,363,366,22,7,474
1173657600,364,364,364,364,23,0,487
1173744000,364,364,362,362,24,3,496
1173830400,363,363,360,361,25,13,510
1173916800,359.5,359.5,359.5,359.5,26,0,523
1174003200,359,363,359,362,27,12,549
1174262400,363,365,360.5,364,28,64,612
1174348800,369.5,369.5,369.5,369.5,29,0,621
1174435200,371,374,370,370,30,17,636
1174521600,371.75,371.75,371.75,371.75,31,0,670
1174608000,371,375,371,373.5,32,58,733
1174867200,373,374.25,373,374,33,49,794
1174953600,374,374.5,373.5,373.5,34,25,815
1175040000,373,378,372.5,372.5,35,27,843
1175126400,369,372,365,370,36,25,862
1175212800,363,365,363,363,37,12,867
1175472000,363,366,363,366,38,1,922
1175558400,370,374,370,374,39,15,946
1175644800,375,382,375,382,40,15,978
1175731200,380,380,380,380,41,0,984
1175817600,380,380,380,380,42,0,984
1176076800,380,382,376,380,43,68,1045
1176163200,380,380,374,374,44,1,1078
1176249600,375,376,374,376,45,6,1094
1176336000,375,380,375,380,46,115,1208
1176422400,378.5,388,378.5,388,47,211,1424
1176681600,384,385,384,385,48,49,1429
1176768000,384,384,384,384,49,9,1461
1176854400,384,390,380,380,50,21,1470
1176940800,378,378,378,378,51,0,1470
1177027200,377,378,377,378,52,4,1474
1177286400,376,376,376,376,53,0,1476
1177372800,380,380,380,380,54,0,1480
1177459200,380,381.5,379,380,55,218,1483
1177545600,380,383,380,383,56,1,1497
1177632000,377,383,377,383,57,2,1509
1177891200,379,383,379,383,58,1,1510
1177977600,384,385,384,384.5,59,19,1530
