time,open,high,low,close,Volume,Futures Open Interest
1260752400,471,471,471,471,0,0
1260838800,468.75,468.75,460,468.75,0,0
1260925200,460,471,460,471,1,1
1261011600,460.75,469,460.75,460.75,0,1
1261098000,461.5,461.5,460.75,460.75,1,1
1261357200,460,460.5,458,460.5,1,2
1261443600,458,460,458,460,2,4
1261530000,463,463,455,463,0,4
1261616400,467,467,455,467,0,4
1261962000,460,470.5,455.5,470.5,8,11
1262048400,461,468.25,461,468.25,4,13
1262134800,459.5,464.75,459.5,464.75,5,13
1262221200,463.75,463.75,463.75,463.75,0,13
1262566800,460,469.25,460,469.25,4,17
1262653200,468.25,469,468.25,468.25,0,17
1262739600,469,473.75,466.75,473.75,7,22
1262826000,469,470.5,465,470.5,4,24
1262912400,474,474,469,474,4,24
1263171600,465,471.5,462,471.5,4,24
1263258000,462,462,447,452.5,4,24
1263344400,452.75,452.75,452.75,452.75,5,29
1263430800,452.75,452.75,450.5,450.5,1,30
1263517200,442,442,442,442,1,30
1263862800,440,440,437.5,437.5,3,28
1263949200,430.25,436.75,430.25,436.75,11,39
1264035600,435,437.5,433.5,437.5,17,47
1264122000,424.25,427.75,424.25,427.75,2,48
1264381200,427,429.5,427,429.5,2,50
1264467600,427.25,427.25,427.25,427.25,2,50
1264554000,423.25,423.25,423.25,423.25,2,50
1264640400,422,426.5,422,426.5,8,50
1264726800,425,425,422.25,422.75,2,50
1264986000,423,425.5,423,425.5,1,50
1265072400,424,431.25,422,431.25,26,75
1265158800,420.25,420.25,420.25,420.25,26,75
1265245200,416,420.75,416,420.75,20,75
1265331600,417.5,417.5,417.5,417.5,20,75
1265590800,420.5,420.5,420.5,420.5,20,75
1265677200,421,422,421,422,32,104
1265763600,421,425.5,421,425.5,2,106
1265850000,422,427.5,422,427.5,3,106
1265936400,425,425,425,425,3,106
1266282000,427.75,427.75,427.75,427.75,3,106
1266368400,427.75,429.5,424.5,424.5,6,106
1266454800,424,424.25,424,424.25,1,106
1266541200,427.75,427.75,427.75,427.75,1,106
1266800400,430,434.25,430,434.25,1,107
1266886800,428.75,428.75,428.75,428.75,1,107
1266973200,434.75,434.75,434.75,434.75,1,107
1267059600,430.5,430.5,430.5,430.5,1,107
1267146000,430,434.25,430,434.25,11,112
1267405200,427.5,429,426.25,429,4,116
1267491600,430,430,430,430,4,116
1267578000,434.5,434.5,434.5,434.5,4,116
1267664400,440,440,426,430.5,2,116
1267750800,423.5,423.5,423.5,423.5,2,116
1268010000,425.5,425.5,425.5,425.5,2,116
1268096400,416.25,416.25,416.25,416.25,2,116
1268182800,419.5,419.5,419.5,419.5,2,116
1268269200,421,421,421,421,2,116
1268355600,419.75,419.75,419.75,419.75,2,116
1268611200,419,419,419,419,2,116
1268697600,424.25,424.25,424.25,424.25,2,116
1268784000,424,431,424,431,27,128
1268870400,429,433,429,433,5,133
1268956800,432,432,432,432,5,133
1269216000,426.5,427.75,426.5,427.75,2,135
